sample_name,primer_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous
S1,rps10,1,A01,Cry,TRUE,100,1,Sample,FALSE
S1,its,1,A01,Cry,TRUE,100,1,Sample,FALSE
S10,rps10,1,B02,Cry,TRUE,1,1,Sample,FALSE
S10,its,1,B02,Cry,TRUE,1,1,Sample,FALSE
S100,rps10,2,B02,Cin,TRUE,1,2,Sample,FALSE
S100,its,2,B02,Cin,TRUE,1,2,Sample,FALSE
S101,rps10,2,C02,Plu,FALSE,1,2,Sample,FALSE
S101,its,2,C02,Plu,FALSE,1,2,Sample,FALSE
S102,rps10,2,D02,Cry,TRUE,1,2,Sample,FALSE
S102,its,2,D02,Cry,TRUE,1,2,Sample,FALSE
S103,rps10,2,F02,Cin,FALSE,1,2,Sample,FALSE
S103,its,2,F02,Cin,FALSE,1,2,Sample,FALSE
S104,rps10,2,G02,Plu,FALSE,1,2,Sample,FALSE
S104,its,2,G02,Plu,FALSE,1,2,Sample,FALSE
S105,rps10,2,H02,Cry,TRUE,100,2,Sample,FALSE
S105,its,2,H02,Cry,TRUE,100,2,Sample,FALSE
S106,rps10,2,A03,Plu,FALSE,100,2,Sample,FALSE
S106,its,2,A03,Plu,FALSE,100,2,Sample,FALSE
S107,rps10,2,B03,Cin,TRUE,100,2,Sample,FALSE
S107,its,2,B03,Cin,TRUE,100,2,Sample,FALSE
S108,rps10,2,C03,Control,TRUE,0,2,Sample,FALSE
S108,its,2,C03,Control,TRUE,0,2,Sample,FALSE
S109,rps10,2,D03,Cin,TRUE,1,2,Sample,FALSE
S109,its,2,D03,Cin,TRUE,1,2,Sample,FALSE
S11,rps10,1,C02,Plu,FALSE,1,1,Sample,FALSE
S11,its,1,C02,Plu,FALSE,1,1,Sample,FALSE
S110,rps10,2,E03,Cry,TRUE,100,2,Sample,FALSE
S110,its,2,E03,Cry,TRUE,100,2,Sample,FALSE
S111,rps10,2,F03,Cin,FALSE,100,2,Sample,FALSE
S111,its,2,F03,Cin,FALSE,100,2,Sample,FALSE
S112,rps10,2,G03,Control,TRUE,0,2,Sample,FALSE
S112,its,2,G03,Control,TRUE,0,2,Sample,FALSE
S113,rps10,2,H03,Cry,FALSE,1,2,Sample,FALSE
S113,its,2,H03,Cry,FALSE,1,2,Sample,FALSE
S114,rps10,2,A04,Plu,FALSE,100,2,Sample,FALSE
S114,its,2,A04,Plu,FALSE,100,2,Sample,FALSE
S115,rps10,2,B04,Control,FALSE,0,2,Sample,FALSE
S115,its,2,B04,Control,FALSE,0,2,Sample,FALSE
S116,rps10,2,D04,Plu,TRUE,100,2,Sample,FALSE
S116,its,2,D04,Plu,TRUE,100,2,Sample,FALSE
S117,rps10,2,E04,Cry,TRUE,1,2,Sample,FALSE
S117,its,2,E04,Cry,TRUE,1,2,Sample,FALSE
S118,rps10,2,F04,Cry,FALSE,100,2,Sample,FALSE
S118,its,2,F04,Cry,FALSE,100,2,Sample,FALSE
S119,rps10,2,G04,Control,TRUE,0,2,Sample,FALSE
