sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S1,1,A01,Cry,TRUE,100,1,Sample,FALSE,0,0.003208106,0,0.003208106,0,TRUE,TRUE,TRUE
S10,1,B02,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S11,1,C02,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S12,1,D02,Plu,TRUE,1,1,Sample,FALSE,0,0.034134407,0,0,0.034134407,FALSE,FALSE,FALSE
S13,1,E02,Control,TRUE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S14,1,F02,Cin,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S15,1,H02,Cin,FALSE,100,1,Sample,FALSE,0.6005116077030744,0,0,0.6005116077030744,0,TRUE,TRUE,TRUE
S16,1,A03,Cry,FALSE,100,1,Sample,FALSE,0,0.5246319533642921,0,0.5246319533642921,0,TRUE,TRUE,TRUE
S17,1,B03,Cry,TRUE,100,1,Sample,FALSE,0,0.106999857,0,0.106999857,0,TRUE,TRUE,TRUE
S18,1,C03,Control,TRUE,0,1,Sample,FALSE,0,0.12186733429431253,0,NA,0.12186733429431253,FALSE,FALSE,FALSE
S2,1,B01,Cin,FALSE,1,1,Sample,FALSE,0,0.21359920576244693,0,0,0.21359920576244693,FALSE,FALSE,FALSE
S20,1,E03,Plu,FALSE,100,1,Sample,FALSE,0,0,0.025369464782643937,0.025369464782643937,0,TRUE,TRUE,TRUE
S21,1,F03,Cry,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S22,1,G03,Cry,TRUE,100,1,Sample,FALSE,0,0.17561228489423306,0,0.17561228489423306,0,TRUE,TRUE,TRUE
S23,1,H03,Plu,TRUE,100,1,Sample,FALSE,0,0,0.001532882,0.001532882,0,TRUE,TRUE,TRUE
S24,1,A04,Cin,FALSE,100,1,Sample,FALSE,0.3306838481764718,0,0,0.3306838481764718,0,TRUE,TRUE,TRUE
S25,1,B04,Control,FALSE,0,1,Sample,FALSE,3.609212514944396e-4,0,0,NA,3.609212514944396e-4,FALSE,FALSE,FALSE
S26,1,C04,Control,FALSE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S27,1,D04,Cin,FALSE,100,1,Sample,FALSE,0.2490312034232415,0,0,0.2490312034232415,0,TRUE,TRUE,TRUE
S28,1,E04,Cin,FALSE,100,1,Sample,FALSE,0.18362332237342474,0,0,0.18362332237342474,0,TRUE,TRUE,TRUE
S29,1,F04,Cin,FALSE,100,1,Sample,FALSE,0.5415860085712048,0,0,0.5415860085712048,0,TRUE,TRUE,TRUE
