Sample	ReadCount
S1_R1.fastq.gz	88850
S1_R2.fastq.gz	88850
S10_R1.fastq.gz	55589
S10_R2.fastq.gz	55589
S100_R1.fastq.gz	73067
S100_R2.fastq.gz	73067
S101_R1.fastq.gz	76744
S101_R2.fastq.gz	76744
S102_R1.fastq.gz	125798
S102_R2.fastq.gz	125798
S103_R1.fastq.gz	104668
S103_R2.fastq.gz	104668
S104_R1.fastq.gz	76087
S104_R2.fastq.gz	76087
S105_R1.fastq.gz	77436
S105_R2.fastq.gz	77436
S106_R1.fastq.gz	86660
S106_R2.fastq.gz	86660
S107_R1.fastq.gz	259373
S107_R2.fastq.gz	259373
S108_R1.fastq.gz	107697
S108_R2.fastq.gz	107697
S109_R1.fastq.gz	175702
S109_R2.fastq.gz	175702
S11_R1.fastq.gz	46997
S11_R2.fastq.gz	46997
S110_R1.fastq.gz	196162
S110_R2.fastq.gz	196162
S111_R1.fastq.gz	222322
S111_R2.fastq.gz	222322
S112_R1.fastq.gz	143285
S112_R2.fastq.gz	143285
S113_R1.fastq.gz	82295
S113_R2.fastq.gz	82295
S114_R1.fastq.gz	97875
S114_R2.fastq.gz	97875
S115_R1.fastq.gz	88332
S115_R2.fastq.gz	88332
S116_R1.fastq.gz	136411
S116_R2.fastq.gz	136411
S117_R1.fastq.gz	139714
S117_R2.fastq.gz	139714
S118_R1.fastq.gz	65888
S118_R2.fastq.gz	65888
S119_R1.fastq.gz	96472
S119_R2.fastq.gz	96472
S12_R1.fastq.gz	83946
S12_R2.fastq.gz	83946
S120_R1.fastq.gz	46591
S120_R2.fastq.gz	46591
S121_R1.fastq.gz	179962
S121_R2.fastq.gz	179962
S122_R1.fastq.gz	155586
S122_R2.fastq.gz	155586
S123_R1.fastq.gz	194734
S123_R2.fastq.gz	194734
S124_R1.fastq.gz	227287
S124_R2.fastq.gz	227287
S125_R1.fastq.gz	201403
S125_R2.fastq.gz	201403
S126_R1.fastq.gz	267802
S126_R2.fastq.gz	267802
S127_R1.fastq.gz	129404
S127_R2.fastq.gz	129404
S128_R1.fastq.gz	77566
S128_R2.fastq.gz	77566
S129_R1.fastq.gz	206588
S129_R2.fastq.gz	206588
S13_R1.fastq.gz	66456
S13_R2.fastq.gz	66456
S130_R1.fastq.gz	189730
S130_R2.fastq.gz	189730
S131_R1.fastq.gz	157064
S131_R2.fastq.gz	157064
S132_R1.fastq.gz	129710
S132_R2.fastq.gz	129710
S133_R1.fastq.gz	160923
S133_R2.fastq.gz	160923
S134_R1.fastq.gz	145698
S134_R2.fastq.gz	145698
S135_R1.fastq.gz	125395
S135_R2.fastq.gz	125395
S136_R1.fastq.gz	38821
S136_R2.fastq.gz	38821
S137_R1.fastq.gz	150808
S137_R2.fastq.gz	150808
S138_R1.fastq.gz	185421
S138_R2.fastq.gz	185421
S139_R1.fastq.gz	263017
S139_R2.fastq.gz	263017
S14_R1.fastq.gz	98674
S14_R2.fastq.gz	98674
S140_R1.fastq.gz	128509
S140_R2.fastq.gz	128509
S141_R1.fastq.gz	141743
S141_R2.fastq.gz	141743
S142_R1.fastq.gz	101981
S142_R2.fastq.gz	101981
S143_R1.fastq.gz	65533
S143_R2.fastq.gz	65533
S144_R1.fastq.gz	153062
S144_R2.fastq.gz	153062
S145_R1.fastq.gz	104713
S145_R2.fastq.gz	104713
S146_R1.fastq.gz	209225
S146_R2.fastq.gz	209225
S147_R1.fastq.gz	105314
S147_R2.fastq.gz	105314
S148_R1.fastq.gz	157125
S148_R2.fastq.gz	157125
S149_R1.fastq.gz	136383
S149_R2.fastq.gz	136383
S15_R1.fastq.gz	57281
S15_R2.fastq.gz	57281
S150_R1.fastq.gz	171748
S150_R2.fastq.gz	171748
S151_R1.fastq.gz	100607
S151_R2.fastq.gz	100607
S152_R1.fastq.gz	234926
S152_R2.fastq.gz	234926
S153_R1.fastq.gz	194154
S153_R2.fastq.gz	194154
S154_R1.fastq.gz	230797
S154_R2.fastq.gz	230797
S156_R1.fastq.gz	190821
S156_R2.fastq.gz	190821
S157_R1.fastq.gz	140655
S157_R2.fastq.gz	140655
S158_R1.fastq.gz	119284
S158_R2.fastq.gz	119284
S159_R1.fastq.gz	117548
S159_R2.fastq.gz	117548
S16_R1.fastq.gz	74478
S16_R2.fastq.gz	74478
S160_R1.fastq.gz	101946
S160_R2.fastq.gz	101946
S161_R1.fastq.gz	108679
S161_R2.fastq.gz	108679
