Species,Number of sequences
Aaosphaeria_arxii,1
Abortiporus_biennis,1
Abortiporus_sp,1
Abrothallus_acetabuli,1
Abrothallus_boomii,1
Abrothallus_caerulescens,1
Abrothallus_canariensis,1
Abrothallus_doliiformis,1
Abrothallus_eriodermae,1
Abrothallus_ertzii,1
Abrothallus_etayoi,1
Abrothallus_kamchatica,1
Abrothallus_nephromatis,1
Abrothallus_peyritschii,1
Abrothallus_puntilloi,1
Abrothallus_secedens,1
Abrothallus_sp,1
Abrothallus_subhalei,1
Abrothallus_suecicus,1
Abrothallus_usneae,1
Absconditella_lignicola,2
Absconditella_sp,9
Absconditella_sphagnorum,2
Absconditonia_rubra,1
Absconditonia_sublignicola,1
Absidia_anomala,1
Absidia_caatingaensis,1
Absidia_caerulea,2
Absidia_californica,1
Absidia_cornuta,1
Absidia_cuneospora,1
Absidia_cylindrospora,2
Absidia_edaphica,1
Absidia_fusca,1
Absidia_glauca,6
Absidia_healeyae,1
Absidia_idahoensis,1
Absidia_jindoensis,1
Absidia_koreana,2
Absidia_macrospora,1
Absidia_montepascoalis,1
Absidia_ovalispora,1
Absidia_panacisoli,1
Absidia_pararepens,1
Absidia_pernambucoensis,1
Absidia_pseudocylindrospora,2
Absidia_psychrophilia,1
Absidia_repens,3
Absidia_soli,1
Absidia_sp,168
Absidia_spinosa,3
Absidia_stercoraria,1
Abundisporus_fuscopurpureus,1
Abundisporus_pubertatis,1
Abundisporus_sp,4
Abundisporus_violaceus,1
Acanthobasidium_sp,1
Acanthocorticium_brueggemannii,1
Acanthocorticium_sp,6
Acantholichen_albomarginatus,1
Acantholichen_campestris,1
Acantholichen_galapagoensis,1
Acantholichen_variabilis,1
Acanthophysellum_cerussatum,1
Acanthophysellum_lividocoeruleum,1
Acanthophysium_bisporum,1
Acanthostigma_chiangmaiense,1
Acanthostigma_multiseptatum,1
Acanthostigma_scopulum,1
Acanthostigma_sp,7
Acanthothecis_peplophora,1
Acaromyces_ingoldii,3
Acarospora_applanata,1
Acarospora_austroshetlandica,1
Acarospora_bohlinii,2
Acarospora_bullata,2
Acarospora_cervina,2
Acarospora_conafii,1
Acarospora_erratica,1
Acarospora_fulva,1
Acarospora_fusca,1
Acarospora_fuscata,2
Acarospora_glaucocarpa,1
Acarospora_glaucocarpa_f._melaniza,1
Acarospora_gwynnii,2
Acarospora_heufleriana,1
Acarospora_impressula,1
Acarospora_insolata,1
Acarospora_irregularis,1
Acarospora_laqueata,1
Acarospora_macrospora,2
Acarospora_malouina,1
Acarospora_moenium,1
Acarospora_molybdina,2
Acarospora_nodulosa,1
Acarospora_novomexicana,1
Acarospora_oligospora,1
Acarospora_placodiiformis,1
Acarospora_rosulata,2
Acarospora_rugulosa,1
Acarospora_schleicheri,2
Acarospora_sinopica,1
Acarospora_socialis,2
Acarospora_sp,23
Acarospora_squamulosa,1
Acarospora_stapfiana,2
Acarospora_strigata,5
Acarospora_tenebrica,1
Acarospora_terricola,1
Acarospora_thamnina,1
Acarospora_tintickiana,2
Acarospora_tuckerae,1
Acarospora_veronensis,1
Acarospora_wahlenbergii,1
Acarospora_worthingtoniana,1
Acarosporaceae_sp,11
Acarosporales_sp,33
Acaulium_acremonium,1
Acaulium_album,1
Acaulium_caviariforme,2
Acaulium_peruvianum,1
Acaulium_retardatum,1
Acaulospora_alpina,2
Acaulospora_brasiliensis,13
Acaulospora_cavernata,4
Acaulospora_colombiana,1
Acaulospora_colossica,3
Acaulospora_entreriana,4
Acaulospora_excavata,5
Acaulospora_fanjing,1
Acaulospora_ignota,1
Acaulospora_kentinensis,1
Acaulospora_koskei,7
Acaulospora_lacunosa,3
Acaulospora_laevis,7
Acaulospora_mellea,5
Acaulospora_minuta,2
Acaulospora_nivalis,2
Acaulospora_paulinae,1
Acaulospora_punctata,2
Acaulospora_pustulata,1
Acaulospora_saccata,1
Acaulospora_scrobiculata,2
Acaulospora_sp,97
Acaulospora_spinosa,4
Acaulospora_spinosissima,1
Acaulospora_tortuosa,1
Acaulospora_viridis,1
Acaulosporaceae_sp,24
Acephala_applanata,1
Acephala_macrosclerotiorum,1
Acephala_sp,2
Acericola_italica,1
Acervuloseptoria_fraxini,1
Acervuloseptoria_ziziphicola,1
Acervus_flavidus,1
Acervus_globulosus,1
Achaetomium_aegilopis,1
Achaetomium_globosum,1
Achaetomium_lippiae,1
Achaetomium_macrosporum,1
Achroceratosphaeria_potamia,1
Achroceratosphaeria_sp,4
Achroiostachys_aurantispora,1
Achroiostachys_betulicola,1
Achroiostachys_humicola,1
Achroiostachys_levigata,1
Achroiostachys_phyllophila,1
Achroiostachys_saccharicola,1
Achroiostachys_sp,1
Aciculopsora_srilankensis,1
Aciculosporium_oplismeni,1
Aciculosporium_take,1
Acidea_extrema,1
Acidiella_americana,1
Acidiella_polonica,1
Acidiella_sp,1
Acidomelania_panicicola,1
Acidomelania_sp,4
Acidomyces_acidothermus,1
Acidomyces_sp,1
Acidotalaromyces_lignorum,1
Acidothrix_acidophila,1
Acolium_inquinans,1
Acolium_karelicum,1
Acremoniopsis_sp,5
Acremoniopsis_suttoniae,2
Acremonium_acutatum,1
Acremonium_alternatum,3
Acremonium_behniae,1
Acremonium_biseptum,2
Acremonium_blochii,1
Acremonium_borodinense,1
Acremonium_brachypenium,1
Acremonium_camptosporum,1
Acremonium_cavaraeanum,1
Acremonium_charticola,7
Acremonium_chiangraiense,1
Acremonium_chrysogenum,1
Acremonium_citrinum,2
Acremonium_dichromosporum,1
Acremonium_exiguum,1
Acremonium_exuviarum,1
Acremonium_fusidioides,1
Acremonium_hennebertii,1
Acremonium_hyalinulum,2
Acremonium_masseei,2
Acremonium_nigrosclerotium,1
Acremonium_parvum,1
Acremonium_persicinum,4
Acremonium_pilosum,1
Acremonium_pinkertoniae,1
Acremonium_polychromum,1
Acremonium_rutilum,2
Acremonium_salmoneum,1
Acremonium_sclerotigenum,2
Acremonium_sordidulum,2
Acremonium_sp,63
Acremonium_thermophilum,1
Acremonium_tubakii,2
Acremonium_vitellinum,1
Acrocalymma_ampeli,1
Acrocalymma_aquaticum,1
Acrocalymma_cycadis,1
Acrocalymma_fici,2
Acrocalymma_pterocarpi,1
Acrocalymma_sp,15
Acrocalymma_vagum,1
Acrocalymma_walkeri,1
Acrocalymmaceae_sp,1
Acrocordiella_occulta,1
Acrocordiella_photiniicola,1
Acrocordiella_sp,1
Acrocordiella_yunnanensis,1
Acrodictys_elaeidicola,1
Acrodictys_fluminicola,1
Acrodictys_liputii,2
Acrodictys_peruamazonensis,1
Acrodictys_porosiseptata,1
Acrodictys_sp,1
Acrodontium_crateriforme,1
Acrodontium_griseum,1
Acrodontium_luzulae,1
Acrodontium_neolitseae,1
Acrodontium_pigmentosum,1
Acrodontium_virellum,1
Acrogenospora_carmichaeliana,2
Acrogenospora_sp,2
Acrogenospora_terricola,1
Acrogenospora_thailandica,1
Acrophialophora_fusispora,3
Acrophialophora_hechuanensis,1
Acrophialophora_jodhpurensis,1
Acrophialophora_levis,1
Acrophialophora_sp,8
Acroscyphus_sphaerophoroides,1
Acrospermales_sp,6
Acrospermum_adeanum,1
Acrospermum_gorditum,1
Acrospermum_leucocephalum,1
Acrospermum_maxonii,2
Acrospermum_sp,5
Acrostalagmus_luteoalbus,1
Actinomortierella_capitata,1
Actinomucor_elegans,1
Actinomucor_sp,1
Aculeastrum_americanum,1
Aculeata_aquatica,1
Aculeata_sp,4
Acuminatispora_palmarum,1
Adautomilanezia_caesalpiniae,1
Adelosphaeria_catenata,1
Adisciso_kaki,1
Adustochaete_interrupta,1
Adustochaete_rava,1
Adustochaete_sp,5
Adustochaete_yunnanensis,1
Aecidium_guatteriae,3
Aecidium_raphiolepidis,1
Aegeritella_sp,1
Aegis_luteocontexta,1
Aequabiliella_effusa,1
Aequabiliella_palatina,1
Aequabiliella_sp,3
Aestipascuomyces_dupliciliberans,2
Aestipascuomyces_sp,1
Afroboletus_luteolus,2
Afroboletus_sp,5
Afroboletus_vietnamensis,1
Afrocastellanoa_ivoryana,1
Agaricaceae_sp,601
Agaricales_sp,1868
Agaricomycetes_sp,2171
Agaricostilbaceae_sp,1
Agaricostilbales_sp,51
Agaricostilbomycetes_sp,11
Agaricus_abruptibulbus,1
Agaricus_agrinferus,1
Agaricus_albiceps,1
Agaricus_albosquamosus,1
Agaricus_alboumbonatus,1
Agaricus_amicosus,1
Agaricus_angusticystidiatus,1
Agaricus_argenteopurpureus,1
Agaricus_argyropotamicus,1
Agaricus_aridicola,1
Agaricus_arizonicus,1
Agaricus_arrillagarum,1
Agaricus_arvensis,2
Agaricus_atrodiscus,1
Agaricus_aureoelephanti,1
Agaricus_baronii,1
Agaricus_basicingulatus,1
Agaricus_bellanniae,1
Agaricus_bernardii,1
Agaricus_bernardiiformis,1
Agaricus_berryessae,1
Agaricus_biannulatus,1
Agaricus_bisporiticus,2
Agaricus_bisporus,2
Agaricus_bitorquis,3
Agaricus_bohusii,1
Agaricus_bresadolanus,2
Agaricus_brunneodiscus,1
Agaricus_brunneofibrillosus,1
Agaricus_brunneogracilis,1
Agaricus_brunneopileatus,1
Agaricus_brunneosquamulosus,1
Agaricus_brunneovariabilis,1
Agaricus_butyreburneus,1
Agaricus_caballeroi,1
Agaricus_callacii,1
Agaricus_campestris,2
Agaricus_campestroides,1
Agaricus_candidolutescens,1
Agaricus_candussoi,1
Agaricus_carassaii,1
Agaricus_caribaeus,1
Agaricus_catenocystis,1
Agaricus_chartaceus,2
Agaricus_chiangmaiensis,1
Agaricus_ciferrianus,1
Agaricus_coccyginus,1
Agaricus_collegarum,1
Agaricus_columellatus,1
Agaricus_comtulus,2
Agaricus_coniferarum,1
Agaricus_cordillerensis,1
Agaricus_crassisquamosus,1
Agaricus_crocodilinus,1
Agaricus_cupressophilus,1
Agaricus_daliensis,1
Agaricus_deserticola,1
Agaricus_desjardinii,1
Agaricus_devoniensis,1
Agaricus_dilutibrunneus,1
Agaricus_diminutivus,1
Agaricus_diospyros,1
Agaricus_dolichopus,1
Agaricus_duplocingulatoides,1
Agaricus_duplocingulatus,1
Agaricus_eburneocanus,1
Agaricus_erectosquamosus,1
Agaricus_erythrosarx,1
Agaricus_exilissimus,1
Agaricus_fiardii,1
Agaricus_fissuratus,1
Agaricus_flavicentrus,1
Agaricus_flavidodiscus,1
Agaricus_flocculosipes,1
Agaricus_floridanus,1
Agaricus_freirei,1
Agaricus_furfuripes,1
Agaricus_fuscopunctatus,1
Agaricus_gastronevadensis,1
Agaricus_gemlii,1
Agaricus_glabriusculus,1
Agaricus_globocystidiatus,1
Agaricus_goossensiae,1
Agaricus_grandiomyces,1
Agaricus_gregariomyces,1
Agaricus_griseicephalus,1
Agaricus_guachari,1
Agaricus_guizhouensis,1
Agaricus_guzmanii,1
Agaricus_haematinus,1
Agaricus_hanthanaensis,1
Agaricus_heinemannianus,1
Agaricus_heterocystis,3
Agaricus_hingganensis,1
Agaricus_hortusdamarum,1
Agaricus_hupohanae,1
Agaricus_impudicus,1
Agaricus_incultorum,1
Agaricus_inilleasper,1
Agaricus_iranicus,1
Agaricus_jacobi,1
Agaricus_jilinensis,1
Agaricus_julius,1
Agaricus_karstomyces,1
Agaricus_kerriganii,1
Agaricus_kriegeri,1
Agaricus_kunmingensis,1
Agaricus_lanipedisimilis,1
Agaricus_lanipes,1
Agaricus_laparrae,1
Agaricus_latiumbonatus,1
Agaricus_leptocaulis,1
Agaricus_leucocarpus,1
Agaricus_leucolepidotus,1
Agaricus_lilaceps,1
Agaricus_litoralis,1
Agaricus_litoraloides,1
Agaricus_lodgeae,1
Agaricus_longistipes,1
Agaricus_lusitanicus,1
Agaricus_luteofibrillosus,2
Agaricus_macrocarpus,1
Agaricus_martinicensis,1
Agaricus_megacarpus,1
Agaricus_megacystidiatus,1
