samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S1_its,50831,29017,28793,28695,27826,27826
S10_its,27064,13320,13094,13050,12225,12225
S100_its,19561,11785,11594,11486,11118,11118
S101_its,33474,15692,15435,15296,13077,13060
S102_its,33467,19508,19258,19108,18474,18474
S103_its,31946,20295,19962,19744,19097,19097
S104_its,17667,10957,10698,10573,10151,10151
S105_its,19702,11860,11650,11553,11127,11127
S106_its,24894,13050,12673,12501,12198,12198
S107_its,42356,17314,17048,16848,16363,16363
S108_its,43228,23093,22780,22430,21730,21730
S109_its,36343,17110,16876,16723,16304,16304
S11_its,37267,24094,23477,23707,22562,22562
S110_its,63733,33362,33017,32685,30523,30523
S111_its,53205,26555,26223,26004,24760,24760
S112_its,13427,6604,6376,6200,5792,5792
S113_its,20755,9588,9337,9177,8937,8937
S114_its,48341,24233,23971,23795,23288,23288
S115_its,36583,21590,21385,21235,21088,21088
S116_its,12454,6398,6228,6169,5956,5956
S117_its,14626,9143,8977,8771,8216,8216
S118_its,11128,4687,4518,4357,4067,4067
S119_its,19072,8586,8432,8259,8093,8093
S12_its,21817,11153,11013,10910,10819,10819
S120_its,24899,13072,12881,12693,12245,12245
S121_its,20050,8619,8417,8175,7964,7964
S122_its,76605,29687,29358,28914,28312,28312
S123_its,33478,13083,12875,12588,12368,12368
S124_its,34773,9689,9488,9273,8833,8833
S125_its,98713,35734,35428,35049,34638,34638
S126_its,58723,25526,25331,24924,24463,24463
S127_its,37512,15101,14849,14508,13924,13924
S128_its,14374,7036,6906,6685,6608,6608
S129_its,61670,40576,40229,40177,39383,39383
S13_its,41784,28883,28664,28532,27587,27587
S130_its,23494,16023,15784,15770,15261,15261
S131_its,42117,28225,27893,27792,26553,26546
S132_its,35368,21938,21700,21618,20466,20118
S133_its,21827,12877,12577,12390,11899,11899
S134_its,27033,14930,14743,14589,14296,14296
S135_its,84778,48559,48294,48113,46258,46255
S136_its,6973,1593,1514,1387,1333,1333
S137_its,35814,22867,22340,22453,21536,21499
S138_its,58869,28890,28539,28349,27429,27429
S139_its,60762,40981,40604,40487,39179,39179
S14_its,27153,10688,10521,10393,10124,10124
S140_its,59362,40959,40509,40439,38422,38409
S141_its,39438,18189,17919,17818,17521,17521
S142_its,45474,26769,26486,26321,23905,23905
S143_its,21992,12437,12200,12095,11139,11139
S144_its,80707,49891,49592,49412,47839,47839
S145_its,52730,26771,26391,26356,24542,24542
S146_its,22059,14384,14095,13973,13483,13481
S147_its,49746,25743,25399,25193,23863,23863
S148_its,59319,35403,35020,34760,33868,33868
S149_its,75963,54743,54412,54151,53020,53018
S15_its,16375,7895,7784,7739,7579,7579
S150_its,18089,11410,11149,10889,10614,10614
S151_its,9191,4083,3915,3801,3634,3634
S152_its,18895,12355,12042,11903,11577,11577
S153_its,43950,24859,24516,24326,23836,23836
S154_its,58571,30329,30036,29866,26685,26685
S156_its,34950,24832,24562,24434,23768,23768
S157_its,56465,42447,42041,41800,40959,40870
S158_its,29850,18022,17732,17540,17196,17196
S159_its,44405,25739,25462,25123,24737,24737
S16_its,35391,23319,23160,23024,22610,22610
S160_its,32269,17034,16763,16605,15924,15870
S161_its,47905,25201,24945,24674,23936,23930
S162_its,29040,16555,16300,16101,15673,15673
S163_its,23731,11977,11762,11589,11343,11343
S164_its,14754,10181,9937,9803,9622,9622
S165_its,77807,49605,49335,48885,48359,47428
S166_its,60580,36294,35939,35696,35176,23833
S167_its,9790,5210,5044,4924,4738,4738
S168_its,33858,19624,19329,19230,18976,18976
S169_its,47858,29445,28992,28957,26966,26966
S17_its,40838,24558,24262,24079,23035,23035
S18_its,59143,34372,33789,33973,32973,32973
S2_its,35477,22356,22146,22013,21614,21614
S20_its,31346,12602,12308,12280,11759,11759
S21_its,86311,45786,45493,45235,38654,38654
S22_its,78463,49421,49251,49099,48232,47953
S23_its,28657,11428,11250,11207,10991,10991
S24_its,66820,33358,33093,32964,32145,32145
S25_its,36482,18177,17961,17840,15759,15759
S26_its,124687,87421,87247,87170,86880,86868
S27_its,99034,68994,68785,68694,68469,68464
S28_its,96939,68368,68166,68109,67839,67838
S29_its,66242,41487,41179,41097,40836,40825
S3_its,35537,21408,21220,21191,20480,20480
S31_its,46233,28789,28495,28399,28047,28047
S32_its,61730,41896,41548,41403,40607,40607
S33_its,94949,61634,61372,61280,59174,59130
S34_its,90441,64339,64047,63958,63444,63400
S35_its,21259,15161,14968,14931,14656,14656
S36_its,59954,31947,31602,31511,30057,30057
S37_its,45166,20457,20245,20050,19053,18896
S38_its,37801,25362,25072,24967,24432,24432
S39_its,38240,17895,17732,17590,17380,17380
S4_its,23509,15773,15594,15496,15290,15287
S40_its,48374,28235,28015,27887,27116,27116
S41_its,85568,52817,52502,52095,51130,51130
S42_its,27000,15907,15753,15547,15171,15171
S43_its,112914,46092,45770,45454,42988,42988
S45_its,7300,4342,4255,4149,4017,4017
S46_its,136795,78872,78620,78396,77450,77447
S47_its,23993,12387,12194,12084,10793,10793
S48_its,17233,10339,10180,10148,9932,9932
S49_its,45397,32345,32052,31998,31541,31541
S5_its,43708,30064,29811,29709,29417,29417
S50_its,47403,32178,31983,31910,31576,31136
S51_its,45983,31807,31618,31501,31193,31150
S52_its,40786,28921,28562,28631,28048,27399
S53_its,66063,39979,39635,39575,38034,38021
