samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S1_rps10,36857,29373,29358,29350,29314,29314
S10_rps10,27717,22996,22926,22985,22910,22903
S100_rps10,52406,40670,40644,40621,38993,38993
S101_rps10,41800,33450,33381,33392,33330,33167
S102_rps10,90592,67535,67502,67481,67229,67170
S103_rps10,71359,51701,51481,51681,51416,51416
S104_rps10,57352,42176,42057,42126,42016,42016
S105_rps10,56713,43895,43876,43862,43735,43735
S106_rps10,60276,40285,40271,40253,40231,40231
S107_rps10,212508,169353,169130,169256,168608,168377
S108_rps10,62350,45166,45108,45113,45022,45009
S109_rps10,136661,102730,102669,102588,102019,101742
S11_rps10,9049,6253,6236,6238,6235,6235
S110_rps10,128862,98707,98119,98645,97673,97625
S111_rps10,165272,123181,123123,123093,122881,122870
S112_rps10,127705,91171,91108,91088,90836,90810
S113_rps10,60019,45231,45201,45190,45091,45091
S114_rps10,47761,38617,38601,38605,38120,38118
S115_rps10,50294,34292,34266,34257,34170,34155
S116_rps10,122184,89826,89758,89742,89077,88049
S117_rps10,123131,93268,93206,93210,92672,92413
S118_rps10,53576,40618,40544,40539,40401,40399
S119_rps10,75635,52808,52763,52712,52528,52506
S12_rps10,61043,49876,49606,49836,49361,49267
S120_rps10,20692,14044,13884,14019,13803,13803
S121_rps10,156294,114499,114456,114377,114063,113996
S122_rps10,75339,42595,42575,42538,42381,42381
S123_rps10,157614,103262,103208,103195,102821,102575
S124_rps10,188139,128983,128861,128862,127952,127317
S125_rps10,98338,69552,69498,69333,69175,69090
S126_rps10,203881,138017,137919,137883,136759,136409
S127_rps10,88852,59173,59132,59090,59050,59034
S128_rps10,61698,43211,43092,43179,42982,42982
S129_rps10,142219,112269,112235,112219,111844,111547
S13_rps10,23778,19324,19316,19319,19302,19302
S130_rps10,163736,138037,137957,137935,137531,137109
S131_rps10,112804,92990,92900,92790,92252,91896
S132_rps10,92644,76066,75965,75925,75320,75149
S133_rps10,136914,111214,111134,111132,110810,110562
S134_rps10,116413,91941,91897,91892,91783,91732
S135_rps10,38355,29532,29466,29508,29397,29397
S136_rps10,31157,20766,20672,20729,20234,20234
S137_rps10,113281,90526,90499,90455,90053,90036
S138_rps10,124237,98579,98518,98513,98237,98077
S139_rps10,199074,168244,168079,168163,167726,166657
S14_rps10,70183,59717,59701,59697,59414,58145
S140_rps10,67615,56863,56814,56817,56668,56657
S141_rps10,100568,78652,78605,78581,77987,77956
S142_rps10,55024,46405,46379,46372,46293,46293
S143_rps10,42668,36001,35988,35991,35912,35908
S144_rps10,69876,57335,57287,57305,57180,57180
S145_rps10,50133,40703,40688,40676,40633,40633
S146_rps10,184213,154438,154349,154371,154160,154037
S147_rps10,53812,43238,43208,43125,43048,43048
S148_rps10,95546,46631,46594,46584,46550,46537
S149_rps10,58439,44292,44273,44256,44251,44251
S15_rps10,40118,33950,33946,33933,33902,33859
S150_rps10,151284,110300,110248,110207,109586,109470
