Genus,Number of sequences
Aaosphaeria,1
Abortiporus,2
Abrothallus,17
Absconditella,13
Absconditonia,2
Absidia,207
Abundisporus,7
Acanthobasidium,1
Acanthocorticium,7
Acantholichen,4
Acanthophysellum,2
Acanthophysium,1
Acanthostigma,10
Acanthothecis,1
Acaromyces,3
Acarospora,81
Acarosporaceae_gen_Incertae_sedis,11
Acarosporales_gen_Incertae_sedis,33
Acaulium,6
Acaulospora,172
Acaulosporaceae_gen_Incertae_sedis,24
Acephala,4
Acericola,1
Acervuloseptoria,2
Acervus,2
Achaetomium,4
Achroceratosphaeria,5
Achroiostachys,7
Aciculopsora,1
Aciculosporium,2
Acidea,1
Acidiella,3
Acidomelania,5
Acidomyces,2
Acidotalaromyces,1
Acidothrix,1
Acolium,2
Acremoniopsis,7
Acremonium,115
Acrocalymma,23
Acrocalymmaceae_gen_Incertae_sedis,1
Acrocordiella,4
Acrodictys,7
Acrodontium,6
Acrogenospora,6
Acrophialophora,14
Acroscyphus,1
Acrospermales_gen_Incertae_sedis,6
Acrospermum,10
Acrostalagmus,1
Actinomortierella,1
Actinomucor,2
Aculeastrum,1
Aculeata,5
Acuminatispora,1
Adautomilanezia,1
Adelosphaeria,1
Adisciso,1
Adustochaete,8
Aecidium,4
Aegeritella,1
Aegis,1
Aequabiliella,5
Aestipascuomyces,3
Afroboletus,8
Afrocastellanoa,1
Agaricaceae_gen_Incertae_sedis,601
Agaricales_gen_Incertae_sedis,1868
Agaricomycetes_gen_Incertae_sedis,2171
Agaricostilbaceae_gen_Incertae_sedis,1
Agaricostilbales_gen_Incertae_sedis,51
Agaricostilbomycetes_gen_Incertae_sedis,11
Agaricus,370
Agonimia,30
Agrestia,1
Agriosomyces,1
Agrocybe,29
Ahmadea,1
Ahtiana,1
Aigialus,1
Ainoa,1
Ajellomyces,1
Ajellomycetaceae_gen_Incertae_sedis,8
Akanthomyces,14
Akenomyces,1
Aklioshbomyces,1
Alanphillipsia,8
Alatosessilispora,6
Alatospora,42
Albatrellaceae_gen_Incertae_sedis,11
Albatrellopsis,1
Albatrellus,22
Albertiniella,1
Albifimbria,1
Alboefibula,2
Alboleptonia,4
Albomagister,3
Albonectria,1
Albophoma,1
Albotricha,8
Alectoria,2
Alessioporus,2
Aleuria,9
Aleurina,2
Aleurocystidiellum,1
Aleurodiscus,32
Alfaria,16
Alfariacladiella,1
Alfoldia,1
Aliquandostipitaceae_gen_Incertae_sedis,22
Aliquandostipite,1
Alishanica,1
Allantoparmelia,1
Allantophomopsiella,2
Allelochaeta,9
Alloarthopyrenia,1
Alloascoidea,2
Allobotryotrichum,1
Allocalicium,1
Allocanariomyces,1
Allocetraria,8
Alloclavaria,2
Alloconiothyrium,5
Allocryptovalsa,3
Allocucurbitaria,2
Allodekkera,1
Allodiatrype,2
Alloexidiopsis,1
Alloleptosphaeria,3
Allomyces,16
Alloneottiosporina,1
Allophaeosphaeria,2
Allophoma,6
Allophylaria,2
Allopsalliota,1
Alnecium,1
Alnicola,19
Alogomyces,1
Alpakesa,2
Alpestrisphaeria,1
Alphamyces,3
Alphamycetaceae_gen_Incertae_sedis,17
Alpinaria,4
Alpova,11
Alternaria,126
Alternariaster,5
Alutaceodontia,1
Amandinea,6
Amanita,755
Amanitaceae_gen_Incertae_sedis,18
Amarenographium,1
Amarenomyces,3
Amaropostia,1
Amarrendia,1
Amauroascus,23
Amauroderma,43
Amaurodon,17
Ambarignomonia,1
Ambispora,76
Ambisporaceae_gen_Incertae_sedis,2
Amblyosporium,1
Ambomucor,1
Ambrosiella,8
Ambrosiozyma,16
Ameghiniella,1
Amesia,4
Amicodisca,11
Amicodiscaceae_gen_Incertae_sedis,8
Amniculicola,4
Amniculicolaceae_gen_Incertae_sedis,5
Amoenoboletus,3
Amorocoelophoma,5
Amorosiaceae_gen_Incertae_sedis,1
Amorphotheca,1
Amorphothecaceae_gen_Incertae_sedis,85
Amparoina,1
Ampelomyces,12
Amphibambusa,1
Amphichorda,2
Amphilogia,1
Amphinema,72
Amphiporthe,1
Amphirosellinia,2
Amphisphaeria,11
Amphisphaeriaceae_gen_Incertae_sedis,11
Amphisphaeriales_gen_Incertae_sedis,62
Amphobotrys,3
Amphosoma,9
Amplistroma,2
Ampulloclitocybe,3
Amundsenia,1
Amycosphaerella,1
Amylascus,18
Amyloathelia,2
Amylocarpus,1
Amyloceraceomyces,1
Amylocorticiaceae_gen_Incertae_sedis,9
Amylocorticiales_gen_Incertae_sedis,1
Amylocorticiellum,5
Amylocorticium,4
Amylocystis,1
Amylodontia,1
Amyloflagellula,2
Amyloporia,8
Amylosporus,9
Amylostereum,5
Amyloxenasma,2
Anacacumisporium,1
Anaeromyces,16
Anamika,1
Anamylopsora,6
Anapleurothecium,1
Anaptychia,10
Anastomitrabeculia,1
Ancylistaceae_gen_Incertae_sedis,2
Andreiomyces,1
Anguillospora,4
Angulomyces,5
Angustimassarina,2
Anhellia,1
Aniptodera,1
Anisomeridium,2
Annabella,1
Annellosympodiella,1
Annulatascaceae_gen_Incertae_sedis,5
Annulatascales_gen_Incertae_sedis,92
Annulatascus,3
Annulohypoxylon,54
Annulusmagnus,1
Anomalomyces,1
Anomoloma,6
Anomoporia,1
Antarctolichenia,2
Antarctomyces,2
Anteagloniaceae_gen_Incertae_sedis,1
Anteaglonium,5
Antealophiotrema,2
Antella,2
Antherospora,6
Anthopsis,6
Anthostoma,5
Anthostomella,69
Anthostomelloides,4
Anthosulcatispora,1
Anthracina,3
Anthracobia,7
Anthracocystis,22
Anthracoidea,1
Anthracoideaceae_gen_Incertae_sedis,7
Anthracophyllum,3
Anthracoporus,1
Antidactylaria,2
Antrelloides,1
Antrodia,34
Antrodiella,13
Antrodiopsis,1
Anungitea,18
Anungitiomyces,1
Anungitiomycetaceae_gen_Incertae_sedis,3
Anungitopsis,1
Anupama,1
Anzia,13
Aotearoamyces,1
Apenidiella,4
Aphanoascella,1
Aphanoascus,7
Aphanobasidium,8
Aphanocladium,1
Aphanophora,1
Aphelidiales_gen_Incertae_sedis,2
Aphelidiomycetes_gen_Incertae_sedis,1
Aphelidiomycota_gen_Incertae_sedis,57
Aphroditeola,1
Apiculospora,1
Apiognomonia,6
Apiognomonioides,1
Apioplagiostoma,1
Apiorhynchostoma,1
Apiosordaria,23
Apiosphaeria,3
Apiospora,48
Apiosporaceae_gen_Incertae_sedis,9
Apiosporina,1
Apiotrichum,38
Aplosporella,9
Apodospora,4
Apodus,13
Apoharknessia,3
Apoharknessiaceae_gen_Incertae_sedis,3
Apophysomyces,9
Aporospora,5
Aporpium,2
Appendiculella,1
Apseudocercosporella,1
Aquabispora,1
Aquadictyospora,1
Aquadiscula,1
Aquafiliformis,1
Aquamyces,2
Aquanectria,5
Aquapeziza,1
Aquapoterium,1
Aquapteridospora,4
Aquastroma,1
Aquasubmersa,2
Aquaticheirospora,1
Aquidictyomyces,1
Aquihelicascus,2
Aquilomyces,4
Aquimonospora,1
Arachnion,4
Arachniotus,5
Arachnocrea,2
Arachnomyces,20
Arachnomycetaceae_gen_Incertae_sedis,1
Arachnopeziza,39
Arachnopezizaceae_gen_Incertae_sedis,17
Arachnoscypha,1
Arachnotheca,7
Arambarria,2
Arboricolonus,1
Arbusculina,1
Arcangeliella,2
Archaeorhizomyces,300
Archaeorhizomycetaceae_gen_Incertae_sedis,15
Archaeorhizomycetales_gen_Incertae_sedis,188
Archaeorhizomycetes_gen_Incertae_sedis,51
Archaeospora,23
Archaeosporaceae_gen_Incertae_sedis,51
Archaeosporales_gen_Incertae_sedis,67
Archaeosporomycetes_gen_Incertae_sedis,16
Arcopilus,4
Arcticomyces,1
Arctocetraria,1
Arctomia,2
Arctoparmelia,5
Arcuadendron,4
Arcuatospora,6
Ardhachandra,4
Arecophila,1
Arenariomyces,2
Arezzomyces,1
Argopericonia,1
Aridoplaca,1
Arizonaphlyctis,15
Arkaya,1
Arkayaceae_gen_Incertae_sedis,2
Armillaria,43
Arnium,21
Aroramyces,4
Arpinia,1
