Species,Number of sequences
Achlya_hypogyna,1
Albugo_laibachii,1
Aphanomyces_astaci,3
Aphanomyces_cladogamus,1
Aphanomyces_cochlioides,1
Aphanomyces_euteiches,4
Aphanomyces_frigidophilus,1
Aphanomyces_invadans,1
Aphanomyces_laevis,1
Aphanomyces_stellatus,1
Bremia_lactucae,2
Bremia_sonchicola,1
Elongisporangium_anandrum,1
Elongisporangium_dimorphum,1
Elongisporangium_prolatum,1
Elongisporangium_senticosum,1
Elongisporangium_undulatum,3
Globisporangium_abappressorium,2
Globisporangium_acanthophoron,2
Globisporangium_acrogynum,1
Globisporangium_alternatum,1
Globisporangium_aquisylvae,1
Globisporangium_attrantheridium,2
Globisporangium_barbulae,1
Globisporangium_camurandrum,1
Globisporangium_canariense,1
Globisporangium_carolinianum,1
Globisporangium_cederbergense,1
Globisporangium_cryptoirregulare,1
Globisporangium_cylindrosporum,1
Globisporangium_cystogenes,1
Globisporangium_debaryanum,1
Globisporangium_echinulatum,1
Globisporangium_emineosum,1
Globisporangium_erinaceum,1
Globisporangium_glomeratum,1
Globisporangium_heterothallicum,1
Globisporangium_hypogynum,1
Globisporangium_intermedium,1
Globisporangium_irregulare,2
Globisporangium_iwayami,1
Globisporangium_kunmingense,1
Globisporangium_longisporangium,1
Globisporangium_lucens,1
Globisporangium_mamillatum,1
Globisporangium_marsipum,1
Globisporangium_mastophorum,2
Globisporangium_megalacanthum,1
Globisporangium_middletonii,1
Globisporangium_minor,1
Globisporangium_nagaii,1
Globisporangium_nodosum,1
Globisporangium_nunn,2
Globisporangium_okanoganense,1
Globisporangium_ornacarpum,1
Globisporangium_orthogonon,1
Globisporangium_paddicum,1
Globisporangium_paroecandrum,1
Globisporangium_parvum,1
Globisporangium_perplexum,1
Globisporangium_radiosum,1
Globisporangium_recalcitrans,1
Globisporangium_rhizosaccharum,1
Globisporangium_rhizoterrae,1
Globisporangium_rostratifingens,2
Globisporangium_schmitthenneri,1
Globisporangium_segnitium,1
Globisporangium_selbyi,1
Globisporangium_solare,1
Globisporangium_spiculum,1
Globisporangium_spinosum,2
Globisporangium_splendens,1
Globisporangium_sylvaticum,2
Globisporangium_takayamanum,1
Globisporangium_terrestre,1
Globisporangium_ultimum,2
Globisporangium_ultimum_var.sporangiiferum,2
Globisporangium_uncinulatum,1
Globisporangium_viniferum,1
Globisporangium_violae,2
Halophytophthora_batemanensis,1
Halophytophthora_exoprolifera,2
Halophytophthora_kandeliae,1
Halophytophthora_polymorphica,1
Halophytophthora_porrigovesica,1
Hyaloperonospora_arabidopsidis,1
Lagena_sp,1
Lagenidium_sp.pulchrum,1
Lagenidium_sp.sinuatum,1
Perofascia_sp.,1
Peronosclerospora_philippinensis,2
Peronosclerospora_sacchari,1
Peronosclerospora_sorghi,1
Peronospora_atriplicis-hastatae,3
Peronospora_belbahrii,2
Peronospora_boni-henrici,1
Peronospora_destructor,1
Peronospora_effusa,27
Peronospora_lepigoni,6
Peronospora_litoralis,1
Peronospora_minor,4
Peronospora_obovata,9
Peronospora_polycarpi,1
Peronospora_rumicis,1
Peronospora_schachtii,15
Peronospora_tabacina,1
Phytophthora_acacia,1
Phytophthora_agathidicida,1
Phytophthora_alticola,1
Phytophthora_amnicola,1
Phytophthora_andina,9
Phytophthora_aquimorbida,1
Phytophthora_arecae,1
Phytophthora_arenaria,1
Phytophthora_asiatica,3
Phytophthora_asparagi,3
Phytophthora_austrocedri,3
Phytophthora_betacei,1
Phytophthora_bilorbang,2
Phytophthora_bishii,3
Phytophthora_boehmeriae,2
Phytophthora_boodjera,1
Phytophthora_borealis,1
Phytophthora_botryosa,2
Phytophthora_brassicae,6
Phytophthora_cactorum,2
Phytophthora_cacuminis,1
Phytophthora_cajani,1
Phytophthora_cambivora,2
Phytophthora_capensis,3
Phytophthora_capsici,48
Phytophthora_captiosa,4
Phytophthora_cf.citrophthora,1
Phytophthora_chlamydospora,4
Phytophthora_cinnamomi,62
Phytophthora_citricola,1
Phytophthora_citrophthora,2
Phytophthora_clandestina,2
Phytophthora_colocasiae,1
Phytophthora_condilina,1
Phytophthora_constricta,1
Phytophthora_cooljarloo,1
Phytophthora_crassamura,1
Phytophthora_cryptogea,4
Phytophthora_cuyabensis,7
Phytophthora_cyperi,1
Phytophthora_drechsleri,3
Phytophthora_elongata,1
Phytophthora_erythroseptica,4
Phytophthora_europaea,2
Phytophthora_fallax,3
Phytophthora_fluvialis,1
Phytophthora_foliorum,5
Phytophthora_fragariae,3
Phytophthora_frigida,2
Phytophthora_gallica,2
Phytophthora_gemini,1
Phytophthora_gibbosa,1
Phytophthora_glovera,5
Phytophthora_gonapodyides,1
Phytophthora_gondwanensis,1
Phytophthora_gregata,1
Phytophthora_hedraiandra,2
Phytophthora_heveae,3
Phytophthora_hibernalis,2
Phytophthora_himalsilva,1
Phytophthora_humicola,3
Phytophthora_hydrogena,1
Phytophthora_hydropathica,3
Phytophthora_idaei,1
Phytophthora_ilicis,2
Phytophthora_infestans,41
Phytophthora_insolita,2
Phytophthora_inundata,5
Phytophthora_ipomoeae,4
Phytophthora_iranica,1
Phytophthora_irrigata,2
Phytophthora_katsurae,10
Phytophthora_kelmanii,2
Phytophthora_kernoviae,7
Phytophthora_kwongonina,1
Phytophthora_lacustris,3
Phytophthora_lateralis,2
Phytophthora_litoralis,1
Phytophthora_macrochlamydospora,4
Phytophthora_meadii,1
Phytophthora_medicaginis,3
Phytophthora_megakarya,5
Phytophthora_megasperma,4
Phytophthora_melonis,4
Phytophthora_mengei,3
Phytophthora_mexicana,1
Phytophthora_mirabilis,4
Phytophthora_mirablis,1
Phytophthora_moyootj,1
Phytophthora_multivesiculata,4
Phytophthora_multivora,5
Phytophthora_nemorosa,1
Phytophthora_nicotianae,8
Phytophthora_niederhauserii,4
Phytophthora_oreophila,1
Phytophthora_ornamentata,1
Phytophthora_palmivora,9
Phytophthora_parsiana,1
Phytophthora_parvispora,7
Phytophthora_phaseoli,4
Phytophthora_pini,1
Phytophthora_pinifolia,1
Phytophthora_pistaciae,1
Phytophthora_plurivora,5
Phytophthora_pluvialis,3
Phytophthora_polonica,1
Phytophthora_porri,1
Phytophthora_primulae,3
Phytophthora_pseudocryptogea,1
Phytophthora_pseudorosacearum,1
Phytophthora_pseudosyringae,3
Phytophthora_pseudotsugae,1
Phytophthora_psychrophila,2
Phytophthora_quercetorum,3
Phytophthora_quercina,4
Phytophthora_quininea,1
Phytophthora_ramorum,11
Phytophthora_richardiae,2
Phytophthora_riparia,1
Phytophthora_rosacearum,4
Phytophthora_rubi,2
Phytophthora_sansomeana,1
Phytophthora_siskiyouensis,4
Phytophthora_sojae,1
Phytophthora_sp.kununurra,1
Phytophthora_sp.lagoariana,7
Phytophthora_sp.pecan,1
Phytophthora_sp.personii,1
Phytophthora_sulawesiensis,1
