"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"1","S101",2,"C02","Plu","FALSE","1",2,"Sample",FALSE,0,0.0680554654206416,0.00921539360114219,0.00921539360114219,0.0680554654206416,TRUE,FALSE,FALSE,42655,109,2.55420190272939,6.92842312428194
"2","S103",2,"F02","Cin","FALSE","1",2,"Sample",FALSE,0.00235417582573426,0,0,0.00235417582573426,0,TRUE,TRUE,TRUE,70347,136,2.32875881480193,4.04011681728654
"3","S104",2,"G02","Plu","FALSE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,52167,87,1.44923071582306,1.8620517400041
"4","S106",2,"A03","Plu","FALSE","100",2,"Sample",FALSE,0,0,0.0121497644433424,0.0121497644433424,0,TRUE,TRUE,TRUE,51792,94,1.94303506347224,3.5725819626426
"5","S11",1,"C02","Plu","FALSE","1",1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,28797,81,2.62334534517848,8.16232248779192
"6","S111",2,"F03","Cin","FALSE","100",2,"Sample",FALSE,0.657623789202737,0.0402763665921561,0,0.657623789202737,0.0402763665921561,TRUE,FALSE,FALSE,44599,125,3.09343933301076,10.7501011765302
"7","S113",2,"H03","Cry","FALSE","1",2,"Sample",FALSE,0.000296142740801066,0,0,0,0.000296142740801066,FALSE,FALSE,FALSE,54012,88,1.74667841025491,3.19448108232856
"8","S114",2,"A04","Plu","FALSE","100",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,61406,116,2.29661231683896,3.65891318370794
"9","S115",2,"B04","Control","FALSE","0",2,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,55243,71,2.39545045858456,7.91865367021129
"10","S118",2,"F04","Cry","FALSE","100",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,44466,54,1.52024710110349,2.42963691142753
"11","S120",2,"H04","Cry","FALSE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,26048,79,2.19851666079409,4.35067591636357
"12","S122",2,"B05","Cry","FALSE","100",2,"Sample",FALSE,0.000820448983633457,0,0,0,0.000820448983633457,FALSE,FALSE,FALSE,70635,129,2.55492148566478,5.17973272963439
"13","S125",2,"E05","Plu","FALSE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,103728,101,2.50902046470212,6.14044816123047
"14","S127",2,"G05","Plu","FALSE","100",2,"Sample",FALSE,0.0045505633378108,0,0,0,0.0045505633378108,FALSE,FALSE,FALSE,72626,81,1.82808134623805,3.40206366476561
"15","S133",2,"E06","Cin","FALSE","1",2,"Sample",FALSE,0.509672467152808,0.00387062003413332,0,0.509672467152808,0.00387062003413332,TRUE,FALSE,FALSE,59572,114,2.55063225803708,6.43721901996419
"16","S134",2,"F06","Cin","FALSE","100",2,"Sample",FALSE,0.803976308145018,0.0597860942392576,0,0.803976308145018,0.0597860942392576,TRUE,FALSE,FALSE,14445,72,2.37257483086698,4.5174285823958
"17","S135",2,"G06","Cry","FALSE","100",2,"Sample",FALSE,0.000594828953629778,0,0,0,0.000594828953629778,FALSE,FALSE,FALSE,75607,98,2.41039679501243,6.23436441940745
"18","S140",2,"E07","Plu","FALSE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,95032,112,2.56849685505881,6.0378864530099
"19","S142",2,"G07","Control","FALSE","0",2,"Sample",FALSE,0.000356135502435967,0,0,NA,0.000356135502435967,FALSE,FALSE,FALSE,70173,132,2.31089391764988,3.97433593563381
"20","S143",2,"H07","Cry","FALSE","1",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,47047,82,2.09592969289688,3.97348252916652
"21","S144",2,"A08","Control","FALSE","0",2,"Sample",FALSE,0.000152353383673431,0,0,NA,0.000152353383673431,FALSE,FALSE,FALSE,105003,115,2.55037653441955,6.20710781091145
"22","S145",2,"B08","Plu","FALSE","1",2,"Sample",FALSE,0.00098219766728054,0,0,0,0.00098219766728054,FALSE,FALSE,FALSE,65096,116,2.34938161617682,3.89675108196772
"23","S146",2,"C08","Cin","FALSE","100",2,"Sample",FALSE,0.870037846679163,0,0,0.870037846679163,0,TRUE,TRUE,TRUE,21771,144,3.46953737581772,16.5882742238144
"24","S147",2,"D08","Cry","FALSE","100",2,"Sample",FALSE,0.00103122057658681,0.00391564914588035,0,0.00391564914588035,0.00103122057658681,TRUE,FALSE,FALSE,66580,110,2.45514502286719,6.62638199953135
"25","S148",2,"E08","Cry","FALSE","1",2,"Sample",FALSE,0.000410422237423046,0,0,0,0.000410422237423046,FALSE,FALSE,FALSE,80372,148,3.04368899983059,10.3785736311625
"26","S149",2,"F08","Plu","FALSE","100",2,"Sample",FALSE,0.000339265336335318,0,0,0,0.000339265336335318,FALSE,FALSE,FALSE,97236,178,2.76794107007638,5.43186042387965
"27","S15",1,"H02","Cin","FALSE","100",1,"Sample",FALSE,0.600511607703074,0,0,0.600511607703074,0,TRUE,TRUE,TRUE,16554,51,1.79756996718824,3.02466264940396
"28","S154",2,"C09","Cin","FALSE","100",2,"Sample",FALSE,0.724417131196792,0,0,0.724417131196792,0,TRUE,TRUE,TRUE,46323,107,2.82104197492794,9.66633321274412
"29","S156",2,"D09","Cin","FALSE","1",2,"Sample",FALSE,0.370511493366811,0,0,0.370511493366811,0,TRUE,TRUE,TRUE,85742,80,1.72802825232026,2.66370216362506
"30","S157",2,"E09","Cry","FALSE","1",2,"Sample",FALSE,0.000493230174081238,0,0,0,0.000493230174081238,FALSE,FALSE,FALSE,103349,148,2.5743455770494,6.20911424734781
"31","S159",2,"H09","Plu","FALSE","100",2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,86006,113,2.0203207595659,3.00629443467834
"32","S16",1,"A03","Cry","FALSE","100",1,"Sample",FALSE,0,0.524631953364292,0,0.524631953364292,0,TRUE,TRUE,TRUE,24056,86,2.68952272668248,8.57119470450534
