"sample_name","richness_sf","richness_demulticoder","richness_diff","shannon_sf","shannon_demulticoder","shannon_diff","invsimpson_sf","invsimpson_demulticoder","invsimpson_diff"
"S1",88,87,1,2.15343321679515,2.15317317753138,0.00026003926376994,5.64272545129784,5.64163781547651,0.00108763582133076
"S10",89,89,0,2.01048220448533,2.01116806065317,0.000685856167840004,3.25584779595215,3.25631497188493,0.000467175932779895
"S100",92,91,1,2.31339435430692,2.3128093925686,0.000584961738320011,5.99111412457438,5.99253958851709,0.00142546394271026
"S101",116,116,0,2.55660782920414,2.55711975478012,0.000511925575979788,6.9309499959715,6.93329765109566,0.00234765512415969
"S102",106,106,0,2.34523656741584,2.34608126855749,0.000844701141649917,5.78955729697211,5.79531913494109,0.00576183796898011
"S103",161,160,1,2.34143681868713,2.34056177636709,0.000875042320040098,4.05185322452505,4.05151083341544,0.00034239110960943
"S104",96,96,0,1.45245966634852,1.45435133602949,0.00189166968096988,1.86210861680023,1.86412359633495,0.00201497953471996
"S105",92,92,0,2.5737553896629,2.57415414645854,0.000398756795640054,8.44534359940407,8.44381416389936,0.00152943550471107
"S106",103,103,0,1.94642570748149,1.94821465996911,0.00178895248762001,3.57419735453756,3.57686199987504,0.00266464533748012
"S107",99,99,0,2.76278909740148,2.76340365704679,0.000614559645310209,9.37203530890717,9.37558455041154,0.00354924150436986
"S108",109,111,2,2.30461533147566,2.30633195005842,0.00171661858276018,4.86171726425452,4.85846342600581,0.00325383824871039
"S109",115,115,0,2.08504117475682,2.08560338352588,0.000562208769059769,5.06904386819226,5.07044565316231,0.00140178497005028
"S11",83,84,1,2.61099057671438,2.6250020656251,0.0140114889107199,8.05276894738063,8.16572390823238,0.11295496085175
"S110",153,154,1,2.65119021406402,2.65187567437073,0.000685460306709906,6.7667746911815,6.76499212428581,0.0017825668956899
"S111",131,130,1,3.09871211455975,3.09581599042352,0.00289612413622997,10.7694952375445,10.7568511226111,0.0126441149334013
"S112",90,89,1,1.76849231275443,1.76653413205793,0.00195818069650011,3.32368013782406,3.32193844828332,0.00174168954074005
