sample_name,expected_innoc,nmds1_sf,nmds1_demulticoder,nmds1_diff,nmds2_sf,nmds2_demulticoder,nmds2_diff
S1,TRUE,-0.226933967,-0.225421137,0.00151283,0.67655616,0.675294487,0.001261673
S103,TRUE,-0.155380481,-0.149199975,0.006180506,-0.745900585,-0.744023354,0.001877232
S105,TRUE,-0.213431909,-0.215128671,0.001696762,-0.225411271,-0.228386699,0.002975428
S106,TRUE,-0.821777814,-0.822010499,0.000232685,-0.735747564,-0.738867808,0.003120244
S107,TRUE,0.667032656,0.66868372,0.001651064,-0.522833481,-0.525857769,0.003024288
S109,TRUE,0.387659502,0.383338248,0.004321254,-0.965063249,-0.970079421,0.005016172
S115,TRUE,-0.598738903,-0.596523332,0.002215571,-0.270532171,-0.275709901,0.00517773
S117,TRUE,-0.237333621,-0.230456431,0.00687719,-0.992526249,-0.996827197,0.004300948
S119,TRUE,-0.751209055,-0.75011012,0.001098936,0.236056751,0.229997586,0.006059164
S121,TRUE,-0.638132132,-0.637748129,0.000384003,-0.721048188,-0.725466783,0.004418594
S13,TRUE,-0.108377115,-0.108605374,0.000228259,0.421216729,0.420808403,0.000408326
S130,TRUE,-0.36522614,-0.366579139,0.001352999,0.368179675,0.363406289,0.004773386
S131,TRUE,-0.287736926,-0.286385971,0.001350954,-0.415956756,-0.418741777,0.002785021
S139,TRUE,-0.469515034,-0.470123316,0.000608282,0.545689875,0.543272904,0.00241697
S141,TRUE,-0.593035786,-0.593688485,0.000652699,0.190114098,0.183491083,0.006623015
S146,TRUE,0.526841657,0.527984352,0.001142696,0.052434974,0.061813578,0.009378604
S15,TRUE,0.714481286,0.579608422,0.134872863,0.816978645,0.94128368,0.124305035
S152,TRUE,-0.647903638,-0.648103925,0.000200287,0.172204511,0.168700772,0.003503739
S154,TRUE,0.074068451,0.072929266,0.001139185,-0.210801264,-0.208527016,0.002274248
S156,TRUE,-1.115367374,-1.119822166,0.004454792,-0.461962761,-0.463196515,0.001233755
S16,TRUE,0.206458949,0.204942765,0.001516184,0.828877075,0.830073487,0.001196413
S160,TRUE,-0.38534667,-0.38701442,0.00166775,-0.12462343,-0.127905845,0.003282414
S162,TRUE,-0.188339948,-0.1868033,0.001536649,-0.132606596,-0.133111074,0.000504478
S166,TRUE,-0.064123953,-0.067885919,0.003761966,-0.594627287,-0.597898999,0.003271712
S168,TRUE,0.523840649,0.513751357,0.010089292,-0.819681047,-0.829602218,0.00992117
S169,TRUE,-0.071406481,-0.073636552,0.002230072,-0.048996603,-0.052175822,0.003179219
S17,TRUE,-0.2337463,-0.232291827,0.001454473,0.390034018,0.384298632,0.005735386
S20,TRUE,0.197408581,0.196277733,0.001130848,-0.459910824,-0.459925407,1.46E-05
S22,TRUE,0.367493566,0.393447533,0.025953968,-0.645225998,-0.63351388,0.011712118
S23,TRUE,0.094713129,0.097622978,0.002909849,-0.95701403,-0.95672472,0.000289311
S24,TRUE,0.648859145,0.57794926,0.070909884,0.600465126,0.687051113,0.086585986
S26,TRUE,1.497614521,1.503459662,0.005845141,0.198303447,0.197140977,0.001162471
S27,TRUE,1.268962305,1.273868238,0.004905933,-0.07014046,-0.064864521,0.005275939
S28,TRUE,1.244328524,1.245686552,0.001358028,0.334486706,0.346838826,0.01235212
S29,TRUE,1.042979641,1.043396917,0.000417276,0.273470737,0.276563194,0.003092456
S32,TRUE,0.597609815,0.806990884,0.20938107,0.873210053,0.672027838,0.201182215
S33,TRUE,-0.072519521,-0.077531348,0.005011827,0.984801899,0.984954784,0.000152885
S35,TRUE,-0.657947646,-0.657283542,0.000664104,0.516831922,0.518387189,0.001555267
S37,TRUE,0.219683528,0.222207683,0.002524154,-0.604319033,-0.605108362,0.000789329
S41,TRUE,0.418996358,0.427098478,0.00810212,-0.489189271,-0.479388112,0.00980116
S43,TRUE,0.11037048,0.109111153,0.001259327,0.348242081,0.358139603,0.009897522
S45,TRUE,-0.609056849,-0.610035057,0.000978208,0.556783871,0.550967121,0.00581675
S47,TRUE,-0.518372663,-0.524826996,0.006454334,0.347562733,0.347371566,0.000191167
S55,TRUE,0.598791747,0.56633982,0.032451927,1.147156768,1.164919663,0.017762896
S56,TRUE,-0.736952915,-0.740219783,0.003266868,0.549437674,0.543769363,0.005668311
S64,TRUE,0.195310709,0.198489096,0.003178387,-0.925679418,-0.923814933,0.001864485
S77,TRUE,1.119768402,1.122246538,0.002478137,0.015366405,0.021875558,0.006509153
S8,TRUE,-0.284789993,-0.286313331,0.001523338,0.462940316,0.457280455,0.005659861
S81,TRUE,0.855542996,0.861829012,0.006286016,-0.379485437,-0.375613847,0.00387159
S82,TRUE,0.595654065,0.597566083,0.001912019,0.240006527,0.245546409,0.005539882
S84,TRUE,-0.279758056,-0.280174806,0.00041675,0.203877917,0.21014906,0.006271143
S87,TRUE,0.009323229,0.014821566,0.005498337,-0.728676591,-0.730004004,0.001327413
S88,TRUE,-0.695496338,-0.700602853,0.005106515,0.120163122,0.116215681,0.003947441
S89,TRUE,-0.128594781,-0.118984557,0.009610224,-0.308662363,-0.313167298,0.004504935
S93,TRUE,0.133526292,0.140476154,0.006949862,-0.141502498,-0.13977958,0.001722918
S95,TRUE,-0.736730474,-0.737984434,0.00125396,0.41743658,0.41148567,0.00595091
S96,TRUE,-0.642527719,-0.647724795,0.005197076,0.340836581,0.349847441,0.00901086
S97,TRUE,-0.20741855,-0.211660212,0.004241662,0.10118333,0.10001846,0.001164871
S98,TRUE,-0.57409143,-0.589243069,0.015151638,0.367218123,0.355291988,0.011926135
