Genus,Species,Number of sequences
Achlya,Achlya_hypogyna,1
Albugo,Albugo_laibachii,1
Aphanomyces,Aphanomyces_astaci,3
Aphanomyces,Aphanomyces_cladogamus,1
Aphanomyces,Aphanomyces_cochlioides,1
Aphanomyces,Aphanomyces_euteiches,4
Aphanomyces,Aphanomyces_frigidophilus,1
Aphanomyces,Aphanomyces_invadans,1
Aphanomyces,Aphanomyces_laevis,1
Aphanomyces,Aphanomyces_stellatus,1
Bremia,Bremia_lactucae,2
Bremia,Bremia_sonchicola,1
Halophytophthora,Halophytophthora_bahamensis,1
Halophytophthora,Halophytophthora_batemanensis,2
Halophytophthora,Halophytophthora_exoprolifera,2
Halophytophthora,Halophytophthora_kandeliae,1
Halophytophthora,Halophytophthora_polymorphica,2
Halophytophthora,Halophytophthora_porrigovesica,1
Hyaloperonospora,Hyaloperonospora_arabis_alpinae,1
Hyaloperonospora,Hyaloperonospora_cardamines_enneaphyllos,1
Hyaloperonospora,Hyaloperonospora_dentariae,8
Hyaloperonospora,Hyaloperonospora_malyi,1
Hyaloperonospora,Hyaloperonospora_parasitica,1
Lagena,Lagena_sp,1
Lagenidium,Lagenidium_sp.pulchrum,1
Lagenidium,Lagenidium_sp.sinuatum,1
Perofascia,Perofascia_sp.,1
Peronosclerospora,Peronosclerospora_philippinensis,2
Peronosclerospora,Peronosclerospora_sacchari,1
Peronosclerospora,Peronosclerospora_sorghi,1
Peronospora,Peronospora_aestivalis,3
Peronospora,Peronospora_affinis,3
Peronospora,Peronospora_agrestis,12
Peronospora,Peronospora_alchemillae,1
Peronospora,Peronospora_alpicola,1
Peronospora,Peronospora_alsinearum,10
Peronospora,Peronospora_alta,9
Peronospora,Peronospora_androsaces,1
Peronospora,Peronospora_aparines,3
Peronospora,Peronospora_apula,3
Peronospora,Peronospora_aquatica,2
Peronospora,Peronospora_arborescens,3
Peronospora,Peronospora_arenariae,2
Peronospora,Peronospora_argemones,1
Peronospora,Peronospora_arthurii,2
Peronospora,Peronospora_arvensis,5
Peronospora,Peronospora_asperuginis,1
Peronospora,Peronospora_astragalina,3
Peronospora,Peronospora_atriplicis-hastatae,3
Peronospora,Peronospora_beccarii,2
Peronospora,Peronospora_belbahrii,3
Peronospora,Peronospora_boni-henrici,1
Peronospora,Peronospora_borealis,1
Peronospora,Peronospora_bulbocapni,5
Peronospora,Peronospora_calotheca,1
Peronospora,Peronospora_campestris,2
Peronospora,Peronospora_centranthi,1
Peronospora,Peronospora_cephalariae,2
Peronospora,Peronospora_cerastii_anomali,1
Peronospora,Peronospora_cerastii_brachypetali,1
Peronospora,Peronospora_cf._grisea,1
Peronospora,Peronospora_cf._senneniana,1
