Genus,Number of sequences
[Acetivibrio]_ethanolgignens_group,3
[Agitococcus]_lubricus_group,29
[Anaerorhabdus]_furcosa_group,44
[Aquaspirillum]_arcticum_group,23
[Aquaspirillum]_polymorphum_group,2
[Bacteroides]_pectinophilus_group,16
[Caedibacter]_taeniospiralis_group,10
[Clostridium]_innocuum_group,112
[Cytophaga]_xylanolytica_group,14
[Desulfobacterium]_catecholicum_group,128
[Eubacterium]_brachy_group,74
[Eubacterium]_cellulosolvens_group,11
[Eubacterium]_eligens_group,80
[Eubacterium]_fissicatena_group,43
[Eubacterium]_hallii_group,456
[Eubacterium]_nodatum_group,170
[Eubacterium]_oxidoreducens_group,124
[Eubacterium]_ruminantium_group,160
[Eubacterium]_saphenum_group,10
[Eubacterium]_siraeum_group,73
[Eubacterium]_tenue_group,3
[Eubacterium]_ventriosum_group,113
[Eubacterium]_xylanophilum_group,164
[Eubacterium]_yurii_group,33
[Mycoplasma]_group,67
[Polyangium]_brachysporum_group,11
[Renibacterium]_salmoninarum_group,2
[Rhizobium]_sphaerophysae_group,5
[Ruminococcus]_gauvreauii_group,331
[Ruminococcus]_gnavus_group,250
[Ruminococcus]_torques_group,848
[Streptomyces]_thermoautotrophicus,3
[Synechococcus]_spongiarum_group,14
1174-901-12,62
1921-2,12
1921-3,24
1959-1,13
2013Ark19i,4
28-4,3
28-YEA-48,2
3PJM14,5
966-1,18
9M32,25
A-plasma,14
A07HB70,17
A2,175
A714019,4
A815,2
AAP99,32
Abditibacterium,162
Abiotrophia,43
Abyssivirga,4
Ac37b,2
Acanthopleuribacter,25
Acaricomes,3
Acaryochloris_MBIC11017,13
Acetanaerobacterium,10
Acetatifactor,25
Acetitomaculum,182
Acetivibrio,28
Acetoanaerobium,30
Acetobacter,352
Acetobacterium,100
Acetobacteroides,14
Acetohalobium,7
Acetomicrobium,34
Acetonema,5
Acholeplasma,212
Achromatium,16
Achromobacter,352
Acidaminobacter,49
Acidaminococcus,38
Acidianus,27
Acidibacillus,36
Acidibacter,188
Acidicaldus,25
Acidicapsa,19
Acidiferrobacter,5
Acidihalobacter,12
Acidilobus,10
