cox1	rps10
Hyaloperonospora_adentariae_2928	Hyaloperonospora_adentariae_2928
Hyaloperonospora_arabis_2697	Hyaloperonospora_arabis_2697
Hyaloperonospora_cardamines_2929	Hyaloperonospora_cardamines_2929
Hyaloperonospora_dentariae_2927	Hyaloperonospora_dentariae_2927
Hyaloperonospora_dentariae_2930	Hyaloperonospora_dentariae_2930
Hyaloperonospora_dentariae_2932	Hyaloperonospora_dentariae_2932
Hyaloperonospora_dentariae_2933	Hyaloperonospora_dentariae_2933
Hyaloperonospora_dentariae_2935	Hyaloperonospora_dentariae_2935
Hyaloperonospora_dentariae_2941	Hyaloperonospora_dentariae_2941
Hyaloperonospora_dentariae_2944	Hyaloperonospora_dentariae_2944
Hyaloperonospora_malyi_2895	Hyaloperonospora_malyi_2895
Peronospora_aestivalis_2290	Peronospora_aestivalis_2290
Peronospora_aestivalis_2679	Peronospora_aestivalis_2679
Peronospora_aff_aestivalis_2539	Peronospora_aff_aestivalis_2539
Peronospora_aff_conglomerata_2519	Peronospora_aff_conglomerata_2519
Peronospora_aff_conglomerata_2563	Peronospora_aff_conglomerata_2563
Peronospora_aff_conglomerata_2785	Peronospora_aff_conglomerata_2785
Peronospora_aff_conglomerata_2797	Peronospora_aff_conglomerata_2797
Peronospora_aff_conglomerata_2801	Peronospora_aff_conglomerata_2801
Peronospora_aff_conglomerata_2868	Peronospora_aff_conglomerata_2868
Peronospora_aff_potentillae_6_4	Peronospora_aff_potentillae_6_4
Peronospora_aff_ranunculi_1_4	Peronospora_aff_ranunculi_1_4
Peronospora_aff_ranunculi_2503	Peronospora_aff_ranunculi_2503
Peronospora_aff_ranunculi_2517	Peronospora_aff_ranunculi_2517
Peronospora_aff_ranunculi_2852	Peronospora_aff_ranunculi_2852
Peronospora_aff_ranunculi_2870	Peronospora_aff_ranunculi_2870
Peronospora_aff_tomentosa_2528	Peronospora_aff_tomentosa_2528
Peronospora_aff_tomentosa_2641	Peronospora_aff_tomentosa_2641
Peronospora_aff_trifoliorum_2959	Peronospora_aff_trifoliorum_2959
Peronospora_aff_trifoliorum_957	Peronospora_aff_trifoliorum_957
Peronospora_aff_viciae_2524	Peronospora_aff_viciae_2524
Peronospora_aff_viciae_2527	Peronospora_aff_viciae_2527
Peronospora_aff_viciae_2531	Peronospora_aff_viciae_2531
Peronospora_aff_viciae_2534	Peronospora_aff_viciae_2534
Peronospora_aff_viciae_2537	Peronospora_aff_viciae_2537
Peronospora_aff_viciae_2540	Peronospora_aff_viciae_2540
Peronospora_aff_viciae_2554	Peronospora_aff_viciae_2554
Peronospora_aff_viciae_2557	Peronospora_aff_viciae_2557
Peronospora_affinis_2529	Peronospora_affinis_2529
Peronospora_affinis_F36	Peronospora_affinis_F36
Peronospora_affinis_F38	Peronospora_affinis_F38
Peronospora_agrestis_160	Peronospora_agrestis_160
Peronospora_agrestis_2084	Peronospora_agrestis_2084
Peronospora_agrestis_2576	Peronospora_agrestis_2576
Peronospora_agrestis_2580	Peronospora_agrestis_2580
Peronospora_agrestis_2605	Peronospora_agrestis_2605
Peronospora_agrestis_2609	Peronospora_agrestis_2609
Peronospora_agrestis_2616	Peronospora_agrestis_2616
Peronospora_agrestis_2623	Peronospora_agrestis_2623
Peronospora_agrestis_2645	Peronospora_agrestis_2645
Peronospora_agrestis_2648	Peronospora_agrestis_2648
Peronospora_agrestis_2819	Peronospora_agrestis_2819
Peronospora_agrestis_802	Peronospora_agrestis_802
Peronospora_alchemillae_494	Peronospora_alchemillae_494
Peronospora_alpicola_947	Peronospora_alpicola_947
Peronospora_alsinearum_2	Peronospora_alsinearum_2
Peronospora_alsinearum_2435	Peronospora_alsinearum_2435
Peronospora_alsinearum_2468	Peronospora_alsinearum_2468
Peronospora_alsinearum_2572	Peronospora_alsinearum_2572
