strain	genus
Hyaloperonospora_adentariae_2928	Hyaloperonospora
Hyaloperonospora_arabis_2697	Hyaloperonospora
Hyaloperonospora_cardamines_2929	Hyaloperonospora
Hyaloperonospora_dentariae_2927	Hyaloperonospora
Hyaloperonospora_dentariae_2930	Hyaloperonospora
Hyaloperonospora_dentariae_2932	Hyaloperonospora
Hyaloperonospora_dentariae_2933	Hyaloperonospora
Hyaloperonospora_dentariae_2935	Hyaloperonospora
Hyaloperonospora_dentariae_2941	Hyaloperonospora
Hyaloperonospora_dentariae_2944	Hyaloperonospora
Hyaloperonospora_malyi_2895	Hyaloperonospora
Peronospora_aestivalis_2290	Peronospora
Peronospora_aestivalis_2679	Peronospora
Peronospora_aff_aestivalis_2539	Peronospora
Peronospora_aff_conglomerata_2519	Peronospora
Peronospora_aff_conglomerata_2563	Peronospora
Peronospora_aff_conglomerata_2785	Peronospora
Peronospora_aff_conglomerata_2797	Peronospora
Peronospora_aff_conglomerata_2801	Peronospora
Peronospora_aff_conglomerata_2868	Peronospora
Peronospora_aff_potentillae_6_4	Peronospora
Peronospora_aff_ranunculi_1_4	Peronospora
Peronospora_aff_ranunculi_2503	Peronospora
Peronospora_aff_ranunculi_2517	Peronospora
Peronospora_aff_ranunculi_2852	Peronospora
Peronospora_aff_ranunculi_2870	Peronospora
Peronospora_aff_tomentosa_2528	Peronospora
Peronospora_aff_tomentosa_2641	Peronospora
Peronospora_aff_trifoliorum_2959	Peronospora
Peronospora_aff_trifoliorum_957	Peronospora
Peronospora_aff_viciae_2524	Peronospora
Peronospora_aff_viciae_2527	Peronospora
Peronospora_aff_viciae_2531	Peronospora
Peronospora_aff_viciae_2534	Peronospora
Peronospora_aff_viciae_2537	Peronospora
Peronospora_aff_viciae_2540	Peronospora
Peronospora_aff_viciae_2554	Peronospora
Peronospora_aff_viciae_2557	Peronospora
Peronospora_affinis_2529	Peronospora
Peronospora_affinis_F36	Peronospora
Peronospora_affinis_F38	Peronospora
Peronospora_agrestis_160	Peronospora
Peronospora_agrestis_2084	Peronospora
Peronospora_agrestis_2576	Peronospora
Peronospora_agrestis_2580	Peronospora
Peronospora_agrestis_2605	Peronospora
Peronospora_agrestis_2609	Peronospora
Peronospora_agrestis_2616	Peronospora
Peronospora_agrestis_2623	Peronospora
Peronospora_agrestis_2645	Peronospora
Peronospora_agrestis_2648	Peronospora
Peronospora_agrestis_2819	Peronospora
Peronospora_agrestis_802	Peronospora
Peronospora_alchemillae_494	Peronospora
Peronospora_alpicola_947	Peronospora
Peronospora_alsinearum_2	Peronospora
Peronospora_alsinearum_2435	Peronospora
Peronospora_alsinearum_2468	Peronospora
Peronospora_alsinearum_2572	Peronospora
Peronospora_alsinearum_2584	Peronospora
Peronospora_alsinearum_2608	Peronospora
Peronospora_alsinearum_2622	Peronospora
Peronospora_alsinearum_2729	Peronospora
Peronospora_alsinearum_2799	Peronospora
Peronospora_alsinearum_2803	Peronospora
Peronospora_alta_2465	Peronospora
Peronospora_alta_2647	Peronospora
Peronospora_alta_2652	Peronospora
Peronospora_alta_2676	Peronospora
Peronospora_alta_2758	Peronospora
Peronospora_alta_2764	Peronospora
Peronospora_androsaces_2626	Peronospora
Peronospora_aparines_2483	Peronospora
Peronospora_aparines_2629	Peronospora
Peronospora_aparines_2646	Peronospora
Peronospora_apula_2388	Peronospora
Peronospora_apula_2909	Peronospora
Peronospora_apula_2911	Peronospora
Peronospora_aquatica_2777	Peronospora
Peronospora_aquatica_984	Peronospora
Peronospora_arborescens_17	Peronospora
Peronospora_arborescens_2462	Peronospora
Peronospora_arborescens_F57	Peronospora
Peronospora_arenariae_2292	Peronospora
Peronospora_arenariae_2662	Peronospora
Peronospora_argemones_2427	Peronospora
Peronospora_arthurii_2298	Peronospora
Peronospora_arthurii_2688	Peronospora
Peronospora_arvensis_10	Peronospora
Peronospora_arvensis_2573	Peronospora
Peronospora_arvensis_2586	Peronospora
Peronospora_arvensis_2590	Peronospora
Peronospora_arvensis_2627	Peronospora
Peronospora_asperuginis_191	Peronospora
Peronospora_astragalina_2634	Peronospora
Peronospora_astragalina_2806	Peronospora
Peronospora_astragalina_2893	Peronospora
Peronospora_beccarii_2322	Peronospora
Peronospora_beccarii_2323	Peronospora
Peronospora_boni-henrici_638	Peronospora
Peronospora_borealis_2711	Peronospora
Peronospora_bulbocapni_2042	Peronospora
Peronospora_bulbocapni_2364	Peronospora
Peronospora_bulbocapni_2371	Peronospora
Peronospora_bulbocapni_61	Peronospora
Peronospora_bulbocapni_7	Peronospora
Peronospora_calotheca_2672	Peronospora
Peronospora_campestris_2383	Peronospora
Peronospora_campestris_2844	Peronospora
