sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S1,1,A01,Cry,TRUE,100,1,Sample,FALSE,0,0.003211935059236507,0,0.003211935059236507,0,TRUE,TRUE,TRUE
S10,1,B02,Cry,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S100,2,B02,Cin,TRUE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S101,2,C02,Plu,FALSE,1,2,Sample,FALSE,0,0.0681409603846737,0.009248630033139119,0.009248630033139119,0.0681409603846737,TRUE,FALSE,FALSE
S102,2,D02,Cry,TRUE,1,2,Sample,FALSE,2.104352502425851e-4,0,0,0,2.104352502425851e-4,FALSE,FALSE,FALSE
S103,2,F02,Cin,FALSE,1,2,Sample,FALSE,0.0023568163103046824,0,0,0.0023568163103046824,0,TRUE,TRUE,TRUE
S104,2,G02,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S105,2,H02,Cry,TRUE,100,2,Sample,FALSE,0,0.013715869918106043,0,0.013715869918106043,0,TRUE,TRUE,TRUE
S106,2,A03,Plu,FALSE,100,2,Sample,FALSE,0,0,0.01217274985667877,0.01217274985667877,0,TRUE,TRUE,TRUE
S107,2,B03,Cin,TRUE,100,2,Sample,FALSE,0.86173769337054,0,0,0.86173769337054,0,TRUE,TRUE,TRUE
S108,2,C03,Control,TRUE,0,2,Sample,FALSE,0.0019034486893182057,0,0,NA,0.0019034486893182057,FALSE,FALSE,FALSE
S109,2,D03,Cin,TRUE,1,2,Sample,FALSE,0.08884607877250006,0,0,0.08884607877250006,0,TRUE,TRUE,TRUE
S11,1,C02,Plu,FALSE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S110,2,E03,Cry,TRUE,100,2,Sample,FALSE,1.4857911446847778e-4,0.0022756064373856333,0,0.0022756064373856333,1.4857911446847778e-4,TRUE,FALSE,FALSE
S111,2,F03,Cin,FALSE,100,2,Sample,FALSE,0.6575360117190678,0.04029785964245992,0,0.6575360117190678,0.04029785964245992,TRUE,FALSE,FALSE
S112,2,G03,Control,TRUE,0,2,Sample,FALSE,5.599046088444191e-4,0.0010161231790139459,0,NA,0.001576027787858365,FALSE,FALSE,FALSE
S113,2,H03,Cry,FALSE,1,2,Sample,FALSE,2.9652143293982467e-4,0,0,0,2.9652143293982467e-4,FALSE,FALSE,FALSE
S114,2,A04,Plu,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S115,2,B04,Control,FALSE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S116,2,D04,Plu,TRUE,100,2,Sample,FALSE,2.2395938869751618e-4,0,0.01643435323727964,0.01643435323727964,2.2395938869751618e-4,TRUE,FALSE,FALSE
S117,2,E04,Cry,TRUE,1,2,Sample,FALSE,0,6.071161980592188e-4,0,6.071161980592188e-4,0,TRUE,TRUE,TRUE
S118,2,F04,Cry,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S119,2,G04,Control,TRUE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S12,1,D02,Plu,TRUE,1,1,Sample,FALSE,0,0.03410416180733731,0,0,0.03410416180733731,FALSE,FALSE,FALSE
S120,2,H04,Cry,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S121,2,A05,Cin,TRUE,100,2,Sample,FALSE,0.805899065543348,0,0,0.805899065543348,0,TRUE,TRUE,TRUE
S122,2,B05,Cry,FALSE,100,2,Sample,FALSE,8.216577653742084e-4,0,0,0,8.216577653742084e-4,FALSE,FALSE,FALSE
S123,2,C05,Plu,TRUE,1,2,Sample,FALSE,7.05249318694331e-4,0,0,0,7.05249318694331e-4,FALSE,FALSE,FALSE
S124,2,D05,Cry,TRUE,1,2,Sample,FALSE,8.237595798826142e-4,0.13237522248863653,0,0.13237522248863653,8.237595798826142e-4,TRUE,FALSE,FALSE
S125,2,E05,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S126,2,F05,Plu,TRUE,1,2,Sample,FALSE,0,0.009635301655231614,0,0,0.009635301655231614,FALSE,FALSE,FALSE
S127,2,G05,Plu,FALSE,100,2,Sample,FALSE,0.004516005051336957,0,0,0,0.004516005051336957,FALSE,FALSE,FALSE
S128,2,H05,Plu,TRUE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S129,2,A06,Control,TRUE,0,2,Sample,FALSE,1.2603230406951676e-4,0.002242048356605088,0,NA,0.0023680806606746047,FALSE,FALSE,FALSE
S13,1,E02,Control,TRUE,0,1,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S130,2,B06,Cin,TRUE,100,2,Sample,FALSE,0.8338905565444716,0,0,0.8338905565444716,0,TRUE,TRUE,TRUE
S131,2,C06,Cin,TRUE,1,2,Sample,FALSE,0.3360055473810611,0,0,0.3360055473810611,0,TRUE,TRUE,TRUE
S132,2,D06,Cry,TRUE,1,2,Sample,FALSE,0.0010617273568244892,0.0014822134387351778,0,0.0014822134387351778,0.0010617273568244892,TRUE,FALSE,FALSE
S133,2,E06,Cin,FALSE,1,2,Sample,FALSE,0.5096103556485355,0.0038817337866108785,0,0.5096103556485355,0.0038817337866108785,TRUE,FALSE,FALSE
S134,2,F06,Cin,FALSE,100,2,Sample,FALSE,0.8038871094229806,0.05982784848398953,0,0.8038871094229806,0.05982784848398953,TRUE,FALSE,FALSE
S135,2,G06,Cry,FALSE,100,2,Sample,FALSE,5.95277465440836e-4,0,0,0,5.95277465440836e-4,FALSE,FALSE,FALSE
S136,2,H06,Plu,TRUE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S137,2,B07,Cry,TRUE,100,2,Sample,FALSE,3.3140164984280814e-4,0.02136197121284047,0,0.02136197121284047,3.3140164984280814e-4,TRUE,FALSE,FALSE
S138,2,C07,Plu,TRUE,100,2,Sample,FALSE,2.95385597956251e-4,0,0.009667890787162702,0.009667890787162702,2.95385597956251e-4,TRUE,FALSE,FALSE
S139,2,D07,Cin,TRUE,100,2,Sample,FALSE,0.6821178209254164,0,0,0.6821178209254164,0,TRUE,TRUE,TRUE
S14,1,F02,Cin,TRUE,1,1,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S140,2,E07,Plu,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S141,2,F07,Cry,TRUE,100,2,Sample,FALSE,0,0.019098388179986568,0,0.019098388179986568,0,TRUE,TRUE,TRUE
S142,2,G07,Control,FALSE,0,2,Sample,FALSE,3.565926855708336e-4,0,0,NA,3.565926855708336e-4,FALSE,FALSE,FALSE
S143,2,H07,Cry,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S144,2,A08,Control,FALSE,0,2,Sample,FALSE,1.5264408170274473e-4,0,0,NA,1.5264408170274473e-4,FALSE,FALSE,FALSE
S145,2,B08,Plu,FALSE,1,2,Sample,FALSE,9.83495712573378e-4,0,0,0,9.83495712573378e-4,FALSE,FALSE,FALSE
S146,2,C08,Cin,FALSE,100,2,Sample,FALSE,0.870245978055602,0,0,0.870245978055602,0,TRUE,TRUE,TRUE
S147,2,D08,Cry,FALSE,100,2,Sample,FALSE,0.0010323159784560144,0.0039198084979054455,0,0.0039198084979054455,0.0010323159784560144,TRUE,FALSE,FALSE
