"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"1","S1",1,"A01","Cry",TRUE,100,1,"Sample",FALSE,0,0.00321193505923651,0,0.00321193505923651,0,TRUE,TRUE,TRUE,56792,88,2.15343321679515,5.64272545129784
"2","S10",1,"B02","Cry",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,35094,89,2.01048220448533,3.25584779595215
"3","S100",2,"B02","Cin",TRUE,1,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,50052,92,2.31339435430692,5.99111412457438
"4","S101",2,"C02","Plu",FALSE,1,2,"Sample",FALSE,0,0.0681409603846737,0.00924863003313912,0.00924863003313912,0.0681409603846737,TRUE,FALSE,FALSE,42596,116,2.55660782920414,6.9309499959715
"5","S102",2,"D02","Cry",TRUE,1,2,"Sample",FALSE,0.000210435250242585,0,0,0,0.000210435250242585,FALSE,FALSE,FALSE,85519,106,2.34523656741584,5.78955729697211
"6","S103",2,"F02","Cin",FALSE,1,2,"Sample",FALSE,0.00235681631030468,0,0,0.00235681631030468,0,TRUE,TRUE,TRUE,70268,161,2.34143681868713,4.05185322452505
"7","S104",2,"G02","Plu",FALSE,1,2,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,52090,96,1.45245966634852,1.86210861680023
"8","S105",2,"H02","Cry",TRUE,100,2,"Sample",FALSE,0,0.013715869918106,0,0.013715869918106,0,TRUE,TRUE,TRUE,54075,92,2.5737553896629,8.44534359940407
"9","S106",2,"A03","Plu",FALSE,100,2,"Sample",FALSE,0,0,0.0121727498566788,0.0121727498566788,0,TRUE,TRUE,TRUE,51693,103,1.94642570748149,3.57419735453756
"10","S107",2,"B03","Cin",TRUE,100,2,"Sample",FALSE,0.86173769337054,0,0,0.86173769337054,0,TRUE,TRUE,TRUE,25517,99,2.76278909740148,9.37203530890717
"11","S108",2,"C03","Control",TRUE,0,2,"Sample",FALSE,0.00190344868931821,0,0,NA,0.00190344868931821,FALSE,FALSE,FALSE,66594,109,2.30461533147566,4.86171726425452
"12","S109",2,"D03","Cin",TRUE,1,2,"Sample",FALSE,0.0888460787725001,0,0,0.0888460787725001,0,TRUE,TRUE,TRUE,107364,115,2.08504117475682,5.06904386819226
"13","S11",1,"C02","Plu",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,29103,83,2.61099057671438,8.05276894738063
"14","S110",2,"E03","Cry",TRUE,100,2,"Sample",FALSE,0.000148579114468478,0.00227560643738563,0,0.00227560643738563,0.000148579114468478,TRUE,FALSE,FALSE,127568,153,2.65119021406402,6.7667746911815
