"","taxon_id","treatment_1","treatment_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","aab","TRUE","FALSE",72884.541635133,0.794280824448253,0.124812344685447,6.3638002030168,1.96822135530483e-10,9.28572532227503e-09
"2","aac","TRUE","FALSE",24166.6220377956,-0.440839596851502,0.125891631278659,-3.50173869679797,0.00046223271329884,0.00759382314705237
"3","aad","TRUE","FALSE",48717.9195973375,1.48561533723614,0.206182623835363,7.20533723745024,5.79003684595421e-13,5.54878531070612e-11
"4","aae","TRUE","FALSE",837.471173983987,-0.475376605463584,0.191445032512016,-2.4830971022126,0.013024557838823,0.0947989969281422
"5","aaf","TRUE","FALSE",206.847535346179,-0.571370312780414,0.222117589596725,-2.57237760331269,0.010100266270923,0.082173134206979
"6","aag","TRUE","FALSE",9431.33693407126,-0.756437740135292,0.144552374061033,-5.2329665634956,1.6681092341846e-07,5.6421341744479e-06
"7","aah","TRUE","FALSE",11630.055650222,0.066359012634684,0.144509747779308,0.459200944257587,0.646089872556484,0.911324374961925
"8","aai","TRUE","FALSE",476.484777873573,-0.349691662889455,0.283094400037027,-1.23524754584943,0.216738389019849,0.587851762671762
"9","aaj","TRUE","FALSE",2.93890641794422,-4.52695624271472,2.30672935972299,-1.9624999454892,0.0497043069518921,0.250701548222263
"10","aak","TRUE","FALSE",39.2140026675708,-0.489310793008491,0.387877416887752,-1.26150884713686,0.207125574496732,0.583672295328805
"11","aal","TRUE","FALSE",0.0124884512311815,0.382484984793156,2.90382152181496,0.131717800808258,0.895207505186759,NA
"12","aam","TRUE","FALSE",0.102422776676846,0.776069710417141,2.90363576649921,0.267275158741006,0.789257311705695,NA
"13","aan","TRUE","FALSE",0.229547332015402,1.94529354928777,2.90230859824908,0.670257308427278,0.502693776826881,NA
"14","aao","TRUE","FALSE",0.992079892371619,0.133484153569279,1.03916413756155,0.128453387433583,0.897790183988921,0.997129227227132
"15","aap","TRUE","FALSE",0.02335916273841,0.263642281647659,2.90379462781648,0.0907923305326539,0.927657604230299,NA
"16","aaq","TRUE","FALSE",13.9565675274913,0.0151145649064792,0.618296799889306,0.0244454846106032,0.980497267679912,0.997129227227132
"17","aar","TRUE","FALSE",151.01876075262,-0.395564435784262,0.212758158819325,-1.8592209952342,0.0629958200435747,0.289780772200444
"18","aas","TRUE","FALSE",48717.9195973375,1.48561533723614,0.206182623835363,7.20533723745024,5.79003684595421e-13,5.54878531070612e-11
"19","aat","TRUE","FALSE",3.13627687091491,-0.112765162367902,0.681395065098082,-0.165491604127879,0.868557057656369,0.99486117161835
"20","aau","TRUE","FALSE",180.210631882662,-0.621600134849381,0.247039147306265,-2.5162009407309,0.0118627527701396,0.0885854914653282
"21","aav","TRUE","FALSE",92.9096737064414,-1.03527393488986,0.265623060130648,-3.89753033633698,9.71786520604801e-05,0.00192681810119917
"22","aaw","TRUE","FALSE",11093.8307980068,0.113765830880681,0.152908115216174,0.744014342991832,0.456867797923505,0.816367299684395
"23","aax","TRUE","FALSE",5093.69846476126,-0.591936619463022,0.127290973348742,-4.65026391024037,3.31510542622286e-06,0.000100325558951481
"24","aay","TRUE","FALSE",476.484777873573,-0.349691662889455,0.283094400037027,-1.23524754584943,0.216738389019849,0.587851762671762
"25","aaz","TRUE","FALSE",594.229977027522,-0.391453198036103,0.153801208491511,-2.54518935108178,0.0109218495510993,0.087223104053918
"26","aba","TRUE","FALSE",2.93890641794422,-4.52695624271472,2.30672935972299,-1.9624999454892,0.0497043069518921,0.250701548222263
"27","abb","TRUE","FALSE",0.0135092787252087,0.603788888036354,2.90382882047075,0.207928540339534,0.835284764190293,NA
"28","abc","TRUE","FALSE",389.063457034999,-0.424339093708381,0.212404413393763,-1.9977884966153,0.0457395950032472,0.248115727611954
"29","abd","TRUE","FALSE",560.049828037431,0.301192646695132,0.213343978206514,1.41177008710122,0.158017668854447,0.528835479325051
"30","abe","TRUE","FALSE",812.799706936671,-0.500609488830165,0.194499926759862,-2.57382867525826,0.0100580064365522,0.082173134206979
"31","abf","TRUE","FALSE",37.4063919947907,-0.395235807352494,0.394813944203777,-1.00106851126945,0.316793687232739,0.674238044380855
"32","abg","TRUE","FALSE",11.5678187358845,0.611326393900636,0.552212622068029,1.10704893273034,0.268272772753178,0.648943926798034
"33","abh","TRUE","FALSE",9.96737144051563,0.159998183995836,0.810904520655125,0.197308289595641,0.843586292700948,0.994186402037355
"34","abi","TRUE","FALSE",0.447363474611076,-0.776467812593906,1.77285178888597,-0.437976720593109,0.661403158895571,0.911324374961925
"35","abj","TRUE","FALSE",0.0998788287593378,0.504799291236698,2.90364480050178,0.173850221331984,0.861983174391736,NA
"36","abk","TRUE","FALSE",567.583817633662,-0.154887824280313,0.374428615960075,-0.413664494854818,0.679119832901189,0.911324374961925
