input	filtered	denoisedF	denoisedR	merged	nonchim
S1	50780	28881	28659	28564	27698	27698
S10	27105	13290	13080	13035	12210	12210
S100	19505	11739	11549	11477	11111	11111
S101	33426	15648	15408	15300	13053	13034
S102	33387	19437	19220	19066	18437	18437
S103	31762	20233	19922	19717	19077	19077
S104	17683	10919	10664	10540	10116	10116
S105	19674	11798	11586	11530	11106	11106
S106	24726	12989	12630	12451	12154	12154
S107	42410	17268	17014	16831	16349	16349
S108	41106	22939	22628	22458	21767	21767
S109	36364	16989	16752	16602	16183	16183
S11	37196	24035	23793	23644	22879	22879
S110	63974	33237	32885	32568	30396	30396
S111	53379	26480	26177	25953	24738	24738
S112	12252	6477	6250	6078	5707	5707
S113	19358	9555	9311	9150	8913	8913
S114	48438	24176	23876	23742	23197	23197
S115	36664	21533	21336	21183	21036	21036
S116	11164	6233	6067	6009	5798	5798
S117	14510	9070	8903	8698	8146	8146
S118	10596	4668	4502	4347	4056	4056
S119	19183	8537	8384	8245	8078	8078
S12	21870	11120	10982	10897	10803	10803
S120	25003	13043	12851	12664	12217	12217
S121	20046	8586	8404	8162	7951	7951
S122	77186	29622	29296	28855	28252	28252
S123	33446	13025	12848	12561	12341	12341
S124	32508	9581	9384	9175	8737	8737
S125	99377	35661	35344	34991	34573	34573
S126	58842	25430	25237	24865	24473	24473
S127	36854	15040	14795	14465	13880	13880
S128	14372	6985	6854	6667	6590	6590
S129	61588	40440	40109	40038	39270	39270
S13	41736	28790	28572	28477	27534	27534
S130	23447	15985	15754	15747	15237	15237
S131	42106	28128	27799	27742	26468	26461
S132	35217	21819	21572	21498	20345	19996
S133	20300	12765	12472	12342	11864	11864
S134	27123	14901	14719	14567	14275	14275
S135	85045	48528	48272	48088	46235	46232
S136	6999	1553	1474	1383	1329	1329
S137	34671	22781	22535	22368	21726	21689
S138	58806	28739	28394	28199	27282	27282
S139	60596	40906	40546	40430	39128	39128
S14	27196	10665	10509	10384	10116	10116
S140	59206	40846	40440	40306	38341	38328
S141	37787	18034	17778	17673	17380	17380
S142	45501	26701	26419	26256	23851	23851
S143	21927	12388	12164	12066	11102	11102
S144	80890	49729	49417	49300	47710	47710
S145	53072	26704	26322	26287	24479	24479
S146	21908	14316	14039	13916	13429	13426
S147	49816	25711	25376	25168	23836	23836
S148	59075	35309	34963	34691	33802	33802
S149	75971	54581	54254	53977	52853	52851
S15	16346	7887	7777	7733	7573	7573
S150	17978	11342	11082	10866	10593	10593
S151	9126	4063	3897	3785	3617	3617
S152	18734	12296	11988	11866	11545	11545
S153	42073	24719	24384	24246	23756	23756
S154	58507	30233	29962	29794	26617	26617
S156	34850	24770	24497	24377	23714	23714
S157	56433	42289	41764	41634	40682	40594
S158	29868	17939	17655	17456	17108	17108
S159	44118	25615	25342	25046	24664	24664
S16	35500	23271	23113	22974	22565	22565
S160	32372	16966	16677	16545	15840	15785
S161	48021	25135	24881	24630	23892	23886
S162	28927	16459	16201	16053	15625	15625
S163	23642	11894	11677	11557	11312	11312
S164	14731	10135	9904	9778	9599	9599
S165	78149	49528	49218	49101	48544	47613
S166	60688	36208	35890	35673	35176	23849
S167	9718	5164	4997	4910	4726	4726
S168	33796	19524	19230	19127	18874	18874
S169	45593	29379	28926	28905	26911	26911
S17	40852	24485	24192	24008	22958	22958
S18	59246	34287	33970	33925	33189	33189
S2	35497	22320	22059	21977	21527	21527
S20	31453	12543	12266	12223	11720	11720
S21	86850	45709	45420	45162	38586	38586
S22	78707	49324	49155	49026	48156	47878
S23	28644	11336	11162	11116	10899	10899
S24	67150	33342	33080	32940	32123	32123
S25	36751	18144	17932	17771	15690	15690
S26	125208	87247	87073	86985	86697	86685
S27	99447	68860	68656	68573	68351	68346
S28	97381	68201	68009	67943	67675	67674
S29	66707	41376	41080	40989	40733	40722
S3	35589	21374	21192	21160	20451	20451
S31	46401	28728	28460	28340	28011	28011
S32	61841	41824	41439	41333	40496	40496
S33	95229	61549	61286	61197	59093	59049
S34	90660	64205	63920	63824	63317	63273
S35	21214	15125	14937	14897	14625	14625
S36	60008	31793	31443	31360	29901	29901
S37	45265	20374	20157	20035	19038	18881
S38	37407	25067	24777	24674	24140	24140
S39	38364	17854	17694	17567	17358	17358
S4	23519	15707	15483	15429	15178	15175
S40	48473	28160	27954	27825	27047	27047
S41	85613	52663	52369	51962	50991	50991
S42	27045	15816	15672	15509	15124	15124
S43	113268	45995	45672	45351	42892	42892
S45	7347	4334	4247	4141	4008	4008
S46	137025	78699	78459	78231	77291	77288
S47	24061	12369	12176	12075	10785	10785
