Sample	ReadCount
S1_R1.fastq.gz	50781
S1_R2.fastq.gz	50781
S10_R1.fastq.gz	27105
S10_R2.fastq.gz	27105
S100_R1.fastq.gz	19507
S100_R2.fastq.gz	19507
S101_R1.fastq.gz	33429
S101_R2.fastq.gz	33429
S102_R1.fastq.gz	33388
S102_R2.fastq.gz	33388
S103_R1.fastq.gz	31763
S103_R2.fastq.gz	31763
S104_R1.fastq.gz	17683
S104_R2.fastq.gz	17683
S105_R1.fastq.gz	19674
S105_R2.fastq.gz	19674
S106_R1.fastq.gz	24731
S106_R2.fastq.gz	24731
S107_R1.fastq.gz	42416
S107_R2.fastq.gz	42416
S108_R1.fastq.gz	41122
S108_R2.fastq.gz	41122
S109_R1.fastq.gz	36364
S109_R2.fastq.gz	36364
S11_R1.fastq.gz	37198
S11_R2.fastq.gz	37198
S110_R1.fastq.gz	63976
S110_R2.fastq.gz	63976
S111_R1.fastq.gz	53380
S111_R2.fastq.gz	53380
S112_R1.fastq.gz	12257
S112_R2.fastq.gz	12257
S113_R1.fastq.gz	19365
S113_R2.fastq.gz	19365
S114_R1.fastq.gz	48439
S114_R2.fastq.gz	48439
S115_R1.fastq.gz	36670
S115_R2.fastq.gz	36670
S116_R1.fastq.gz	11170
S116_R2.fastq.gz	11170
S117_R1.fastq.gz	14513
S117_R2.fastq.gz	14513
S118_R1.fastq.gz	10598
S118_R2.fastq.gz	10598
S119_R1.fastq.gz	19184
S119_R2.fastq.gz	19184
S12_R1.fastq.gz	21870
S12_R2.fastq.gz	21870
S120_R1.fastq.gz	25005
S120_R2.fastq.gz	25005
S121_R1.fastq.gz	20051
S121_R2.fastq.gz	20051
S122_R1.fastq.gz	77186
S122_R2.fastq.gz	77186
S123_R1.fastq.gz	33454
S123_R2.fastq.gz	33454
S124_R1.fastq.gz	32521
S124_R2.fastq.gz	32521
S125_R1.fastq.gz	99386
S125_R2.fastq.gz	99386
S126_R1.fastq.gz	58845
S126_R2.fastq.gz	58845
S127_R1.fastq.gz	36862
S127_R2.fastq.gz	36862
S128_R1.fastq.gz	14373
S128_R2.fastq.gz	14373
S129_R1.fastq.gz	61590
S129_R2.fastq.gz	61590
S13_R1.fastq.gz	41736
S13_R2.fastq.gz	41736
S130_R1.fastq.gz	23449
S130_R2.fastq.gz	23449
S131_R1.fastq.gz	42110
S131_R2.fastq.gz	42110
S132_R1.fastq.gz	35218
S132_R2.fastq.gz	35218
S133_R1.fastq.gz	20311
S133_R2.fastq.gz	20311
S134_R1.fastq.gz	27123
S134_R2.fastq.gz	27123
S135_R1.fastq.gz	85046
S135_R2.fastq.gz	85046
S136_R1.fastq.gz	7000
S136_R2.fastq.gz	7000
S137_R1.fastq.gz	34675
S137_R2.fastq.gz	34675
S138_R1.fastq.gz	58808
S138_R2.fastq.gz	58808
S139_R1.fastq.gz	60600
S139_R2.fastq.gz	60600
S14_R1.fastq.gz	27199
S14_R2.fastq.gz	27199
S140_R1.fastq.gz	59214
S140_R2.fastq.gz	59214
S141_R1.fastq.gz	37792
S141_R2.fastq.gz	37792
S142_R1.fastq.gz	45503
S142_R2.fastq.gz	45503
S143_R1.fastq.gz	21931
S143_R2.fastq.gz	21931
S144_R1.fastq.gz	80892
S144_R2.fastq.gz	80892
S145_R1.fastq.gz	53074
S145_R2.fastq.gz	53074
S146_R1.fastq.gz	21911
S146_R2.fastq.gz	21911
S147_R1.fastq.gz	49819
S147_R2.fastq.gz	49819
S148_R1.fastq.gz	59079
S148_R2.fastq.gz	59079
S149_R1.fastq.gz	75974
S149_R2.fastq.gz	75974
S15_R1.fastq.gz	16347
S15_R2.fastq.gz	16347
S150_R1.fastq.gz	17978
S150_R2.fastq.gz	17978
S151_R1.fastq.gz	9128
S151_R2.fastq.gz	9128
S152_R1.fastq.gz	18739
S152_R2.fastq.gz	18739
S153_R1.fastq.gz	42085
S153_R2.fastq.gz	42085
S154_R1.fastq.gz	58510
S154_R2.fastq.gz	58510
S156_R1.fastq.gz	34852
S156_R2.fastq.gz	34852
S157_R1.fastq.gz	56434
S157_R2.fastq.gz	56434
S158_R1.fastq.gz	29870
S158_R2.fastq.gz	29870
S159_R1.fastq.gz	44125
S159_R2.fastq.gz	44125
S16_R1.fastq.gz	35500
S16_R2.fastq.gz	35500
S160_R1.fastq.gz	32375
S160_R2.fastq.gz	32375
S161_R1.fastq.gz	48023
S161_R2.fastq.gz	48023
S162_R1.fastq.gz	28928
S162_R2.fastq.gz	28928
S163_R1.fastq.gz	23642
S163_R2.fastq.gz	23642
S164_R1.fastq.gz	14732
S164_R2.fastq.gz	14732
S165_R1.fastq.gz	78150
S165_R2.fastq.gz	78150
S166_R1.fastq.gz	60690
S166_R2.fastq.gz	60690
S167_R1.fastq.gz	9721
S167_R2.fastq.gz	9721
S168_R1.fastq.gz	33797
S168_R2.fastq.gz	33797
S169_R1.fastq.gz	45605
S169_R2.fastq.gz	45605
S17_R1.fastq.gz	40852
S17_R2.fastq.gz	40852
S18_R1.fastq.gz	59247
S18_R2.fastq.gz	59247
S2_R1.fastq.gz	35497
S2_R2.fastq.gz	35497
S20_R1.fastq.gz	31455
S20_R2.fastq.gz	31455
S21_R1.fastq.gz	86853
S21_R2.fastq.gz	86853
S22_R1.fastq.gz	78709
S22_R2.fastq.gz	78709
S23_R1.fastq.gz	28644
S23_R2.fastq.gz	28644
S24_R1.fastq.gz	67151
S24_R2.fastq.gz	67151
S25_R1.fastq.gz	36752
S25_R2.fastq.gz	36752
S26_R1.fastq.gz	125210
S26_R2.fastq.gz	125210
S27_R1.fastq.gz	99449
S27_R2.fastq.gz	99449
S28_R1.fastq.gz	97382
S28_R2.fastq.gz	97382
S29_R1.fastq.gz	66710
S29_R2.fastq.gz	66710
S3_R1.fastq.gz	35592
S3_R2.fastq.gz	35592
S31_R1.fastq.gz	46403
S31_R2.fastq.gz	46403
S32_R1.fastq.gz	61845
S32_R2.fastq.gz	61845
S33_R1.fastq.gz	95230
S33_R2.fastq.gz	95230
S34_R1.fastq.gz	90665
S34_R2.fastq.gz	90665
S35_R1.fastq.gz	21215
S35_R2.fastq.gz	21215
S36_R1.fastq.gz	60014
S36_R2.fastq.gz	60014
S37_R1.fastq.gz	45267
S37_R2.fastq.gz	45267
S38_R1.fastq.gz	37409
S38_R2.fastq.gz	37409
S39_R1.fastq.gz	38367
S39_R2.fastq.gz	38367
S4_R1.fastq.gz	23521
S4_R2.fastq.gz	23521
S40_R1.fastq.gz	48474
S40_R2.fastq.gz	48474
S41_R1.fastq.gz	85625
S41_R2.fastq.gz	85625
S42_R1.fastq.gz	27047
S42_R2.fastq.gz	27047
S43_R1.fastq.gz	113272
S43_R2.fastq.gz	113272
S45_R1.fastq.gz	7347
S45_R2.fastq.gz	7347
S46_R1.fastq.gz	137025
S46_R2.fastq.gz	137025
S47_R1.fastq.gz	24061
S47_R2.fastq.gz	24061
S48_R1.fastq.gz	17325
S48_R2.fastq.gz	17325
S49_R1.fastq.gz	45390
S49_R2.fastq.gz	45390
S5_R1.fastq.gz	43728
S5_R2.fastq.gz	43728
S50_R1.fastq.gz	47430
S50_R2.fastq.gz	47430
S51_R1.fastq.gz	46217
S51_R2.fastq.gz	46217
S52_R1.fastq.gz	40803
S52_R2.fastq.gz	40803
S53_R1.fastq.gz	66210
S53_R2.fastq.gz	66210
S54_R1.fastq.gz	46569
S54_R2.fastq.gz	46569
S55_R1.fastq.gz	39844
S55_R2.fastq.gz	39844
S56_R1.fastq.gz	30770
S56_R2.fastq.gz	30770
S57_R1.fastq.gz	37183
S57_R2.fastq.gz	37183
S58_R1.fastq.gz	65175
S58_R2.fastq.gz	65175
S59_R1.fastq.gz	110861
S59_R2.fastq.gz	110861
S6_R1.fastq.gz	43788
S6_R2.fastq.gz	43788
S60_R1.fastq.gz	60246
S60_R2.fastq.gz	60246
S61_R1.fastq.gz	31062
S61_R2.fastq.gz	31062
S62_R1.fastq.gz	42593
S62_R2.fastq.gz	42593
S63_R1.fastq.gz	28998
S63_R2.fastq.gz	28998
S64_R1.fastq.gz	35377
S64_R2.fastq.gz	35377
S65_R1.fastq.gz	15127
S65_R2.fastq.gz	15127
S66_R1.fastq.gz	42445
S66_R2.fastq.gz	42445
S68_R1.fastq.gz	98752
S68_R2.fastq.gz	98752
S69_R1.fastq.gz	87692
S69_R2.fastq.gz	87692
S7_R1.fastq.gz	43277
S7_R2.fastq.gz	43277
S70_R1.fastq.gz	69380
S70_R2.fastq.gz	69380
S72_R1.fastq.gz	78421
S72_R2.fastq.gz	78421
S73_R1.fastq.gz	50582
S73_R2.fastq.gz	50582
S74_R1.fastq.gz	21988
S74_R2.fastq.gz	21988
S76_R1.fastq.gz	40227
S76_R2.fastq.gz	40227
S77_R1.fastq.gz	111760
S77_R2.fastq.gz	111760
S78_R1.fastq.gz	83067
S78_R2.fastq.gz	83067
S79_R1.fastq.gz	37532
S79_R2.fastq.gz	37532
S8_R1.fastq.gz	12506
S8_R2.fastq.gz	12506
S80_R1.fastq.gz	33836
S80_R2.fastq.gz	33836
S81_R1.fastq.gz	50119
S81_R2.fastq.gz	50119
S82_R1.fastq.gz	117344
S82_R2.fastq.gz	117344
S83_R1.fastq.gz	85793
S83_R2.fastq.gz	85793
S84_R1.fastq.gz	13926
S84_R2.fastq.gz	13926
S85_R1.fastq.gz	86142
S85_R2.fastq.gz	86142
S86_R1.fastq.gz	42638
S86_R2.fastq.gz	42638
S87_R1.fastq.gz	48160
S87_R2.fastq.gz	48160
S88_R1.fastq.gz	16876
S88_R2.fastq.gz	16876
S89_R1.fastq.gz	53504
S89_R2.fastq.gz	53504
S9_R1.fastq.gz	22034
S9_R2.fastq.gz	22034
S90_R1.fastq.gz	35552
S90_R2.fastq.gz	35552
S91_R1.fastq.gz	46270
S91_R2.fastq.gz	46270
S92_R1.fastq.gz	91350
S92_R2.fastq.gz	91350
S93_R1.fastq.gz	35393
S93_R2.fastq.gz	35393
S94_R1.fastq.gz	53585
S94_R2.fastq.gz	53585
S95_R1.fastq.gz	54507
S95_R2.fastq.gz	54507
S96_R1.fastq.gz	32953
S96_R2.fastq.gz	32953
S97_R1.fastq.gz	21703
S97_R2.fastq.gz	21703
S98_R1.fastq.gz	36342
S98_R2.fastq.gz	36342
S99_R1.fastq.gz	30033
S99_R2.fastq.gz	30033
SDNA_C1_R1.fastq.gz	111
SDNA_C1_R2.fastq.gz	111
SDNA_C2_R1.fastq.gz	134
SDNA_C2_R2.fastq.gz	134
SDNA_C3_R1.fastq.gz	234
SDNA_C3_R2.fastq.gz	234
SDNA_C4_R1.fastq.gz	215
SDNA_C4_R2.fastq.gz	215
SMC1_R1.fastq.gz	9133
SMC1_R2.fastq.gz	9133
SMC2_R1.fastq.gz	9188
SMC2_R2.fastq.gz	9188
SMC3_R1.fastq.gz	38726
SMC3_R2.fastq.gz	38726
SMC4_R1.fastq.gz	36911
SMC4_R2.fastq.gz	36911
SPCR_C1_R1.fastq.gz	252
SPCR_C1_R2.fastq.gz	252
SPCR_C2_R1.fastq.gz	212
SPCR_C2_R2.fastq.gz	212
SPCR_C3_R1.fastq.gz	248
SPCR_C3_R2.fastq.gz	248
