Sample	ReadCount
S1_R1.fastq.gz	36989
S1_R2.fastq.gz	36989
S10_R1.fastq.gz	27814
S10_R2.fastq.gz	27814
S100_R1.fastq.gz	52621
S100_R2.fastq.gz	52621
S101_R1.fastq.gz	42001
S101_R2.fastq.gz	42001
S102_R1.fastq.gz	90927
S102_R2.fastq.gz	90927
S103_R1.fastq.gz	71655
S103_R2.fastq.gz	71655
S104_R1.fastq.gz	57544
S104_R2.fastq.gz	57544
S105_R1.fastq.gz	56931
S105_R2.fastq.gz	56931
S106_R1.fastq.gz	60640
S106_R2.fastq.gz	60640
S107_R1.fastq.gz	213916
S107_R2.fastq.gz	213916
S108_R1.fastq.gz	62705
S108_R2.fastq.gz	62705
S109_R1.fastq.gz	137407
S109_R2.fastq.gz	137407
S11_R1.fastq.gz	9074
S11_R2.fastq.gz	9074
S110_R1.fastq.gz	129530
S110_R2.fastq.gz	129530
S111_R1.fastq.gz	166303
S111_R2.fastq.gz	166303
S112_R1.fastq.gz	128421
S112_R2.fastq.gz	128421
S113_R1.fastq.gz	60293
S113_R2.fastq.gz	60293
S114_R1.fastq.gz	47998
S114_R2.fastq.gz	47998
S115_R1.fastq.gz	50532
S115_R2.fastq.gz	50532
S116_R1.fastq.gz	122722
S116_R2.fastq.gz	122722
S117_R1.fastq.gz	123710
S117_R2.fastq.gz	123710
S118_R1.fastq.gz	53830
S118_R2.fastq.gz	53830
S119_R1.fastq.gz	76051
S119_R2.fastq.gz	76051
S12_R1.fastq.gz	61275
S12_R2.fastq.gz	61275
S120_R1.fastq.gz	20792
S120_R2.fastq.gz	20792
S121_R1.fastq.gz	157764
S121_R2.fastq.gz	157764
S122_R1.fastq.gz	75819
S122_R2.fastq.gz	75819
S123_R1.fastq.gz	158665
S123_R2.fastq.gz	158665
S124_R1.fastq.gz	189369
S124_R2.fastq.gz	189369
S125_R1.fastq.gz	99001
S125_R2.fastq.gz	99001
S126_R1.fastq.gz	205521
S126_R2.fastq.gz	205521
S127_R1.fastq.gz	89623
S127_R2.fastq.gz	89623
S128_R1.fastq.gz	62192
S128_R2.fastq.gz	62192
S129_R1.fastq.gz	142785
S129_R2.fastq.gz	142785
S13_R1.fastq.gz	23883
S13_R2.fastq.gz	23883
S130_R1.fastq.gz	164401
S130_R2.fastq.gz	164401
S131_R1.fastq.gz	113192
S131_R2.fastq.gz	113192
