input	filtered	denoisedF	denoisedR	merged	nonchim
S1	36892	29337	29321	29314	29277	29277
S10	27806	22978	22907	22967	22891	22884
S100	52612	40620	40593	40570	38941	38941
S101	41996	33423	33350	33362	33299	33135
S102	90880	67470	67434	67416	67159	67100
S103	71632	51641	51423	51620	51357	51357
S104	57315	42133	42014	42084	41974	41974
S105	56908	43883	43863	43848	43721	43721
S106	60606	40231	40217	40198	40176	40176
S107	213818	169195	168964	169093	168437	168206
S108	62617	45113	45054	45059	44967	44954
S109	137328	102643	102580	102497	101926	101650
S11	9068	6243	6225	6228	6224	6224
S110	129492	98566	97977	98504	97531	97482
S111	166270	123023	122967	122936	122725	122714
S112	128380	91099	91035	91016	90764	90738
S113	60248	45187	45156	45146	45046	45046
S114	47994	38576	38560	38565	38080	38078
S115	50522	34257	34231	34222	34135	34120
S116	122517	89748	89677	89662	88997	87969
S117	123673	93183	93126	93125	92587	92329
S118	53805	40565	40491	40487	40349	40347
S119	76025	52776	52731	52678	52494	52472
S12	61264	49828	49558	49788	49313	49219
S120	20791	14025	13865	14000	13783	13783
S121	157690	114336	114293	114211	113898	113831
S122	75791	42553	42533	42495	42337	42337
S123	158511	103183	103126	103117	102737	102512
S124	189086	128894	128772	128774	127860	127225
S125	98981	69420	69366	69200	69042	68957
S126	205334	137902	137804	137766	136641	136290
S127	89597	59112	59070	59029	58988	58972
S128	62179	43164	43044	43131	42934	42934
S129	142695	112208	112174	112159	111783	111485
S13	23880	19317	19309	19312	19295	19295
S130	164244	137935	137854	137831	137427	137006
S131	113116	92895	92797	92693	92148	91793
S132	92937	75985	75883	75908	75302	75132
S133	137496	111171	111080	111081	110752	110504
S134	116979	91771	91727	91722	91613	91562
S135	38305	29498	29432	29473	29363	29363
S136	31336	20739	20645	20702	20207	20207
S137	113431	90454	90426	90389	89975	89958
S138	124215	98483	98421	98417	98138	97978
S139	199688	168172	168002	168085	167644	166574
S14	70406	59644	59628	59623	59339	58074
S140	67806	56805	56748	56755	56603	56592
S141	100872	78613	78565	78541	77947	77916
S142	55232	46372	46346	46338	46257	46257
S143	42783	35969	35955	35958	35878	35874
S144	70185	57266	57218	57235	57109	57109
S145	50391	40665	40650	40638	40595	40595
S146	185064	154315	154223	154243	154030	153906
S147	54092	43198	43167	43084	43004	43004
S148	95914	46601	46562	46553	46517	46504
S149	58684	44207	44188	44171	44166	44166
S15	40310	33932	33928	33915	33884	33841
S150	152004	110221	110169	110127	109508	109392
S151	90411	68197	68165	68162	67907	67868
S152	213977	165480	165295	165375	164849	164445
S153	148061	116767	116551	116696	115993	115824
S154	169105	141889	141836	141806	141407	141301
S156	153769	113133	112935	112902	112616	112376
S157	82367	63328	63293	63290	62471	62471
S158	88097	63265	63127	63146	62878	62878
S159	71761	61472	61346	61436	61233	61220
S16	38042	27975	27968	27967	27961	27961
S160	68355	50483	50316	50410	50027	50024
S161	59203	48618	48586	48569	48063	48063
S162	86624	66545	66084	66415	63818	63818
S163	74480	58660	58602	58607	58344	58344
S164	76544	59216	59201	59180	58886	58867
S165	35106	25851	25803	25812	25719	25719
S166	53612	43106	42961	43072	42916	42912
S167	56428	41724	41707	41691	41563	41563
S168	93676	65749	65677	65711	65490	65483
S169	264287	219173	218786	219079	218307	217160
S17	44093	32934	32914	32909	32884	32884
S18	61136	46128	46115	46106	46065	46065
S2	36016	25794	25777	25757	25711	25711
S20	30697	25322	25290	25286	25265	25261
S21	3894	2532	2524	2500	2500	2500
S22	39749	31192	31181	31175	31123	31123
S23	52975	42802	42751	42775	42663	42546
S24	21178	17670	17664	17665	17660	17660
S25	36270	28606	28599	28578	28568	28568
S26	394	261	253	250	250	250
S27	43414	35572	35564	35533	35513	35513
S28	21045	17636	17618	17615	17613	17613
S29	57656	48530	48503	48497	48488	48488
S3	57766	44902	44873	44868	44841	44820
S31	37042	28765	28756	28747	28733	28733
S32	7349	5819	5809	5808	5808	5808
S33	5206	3935	3911	3899	3899	3899
S34	5838	4956	4947	4949	4947	4947
S35	74238	57313	57301	57291	57278	57278
S36	35409	28829	28819	28821	28807	28804
S37	59352	50811	50798	50792	50710	50549
S38	43362	34950	34934	34932	34924	34924
S39	74256	57906	57883	57833	57806	57793
S4	53150	40462	40450	40442	40396	40396
S40	48690	37237	37210	37202	37167	37167
S41	43206	33860	33844	33827	33796	33796
S42	101369	72776	72758	72696	72582	72582
S43	27108	18994	18971	18967	18958	18958
S45	75204	60078	60066	60031	59928	59826
S46	6556	4742	4734	4733	4731	4731
S47	80600	63758	63714	63713	63640	63640
S48	75605	63244	63222	62326	62218	62174
S49	95730	75945	75919	75920	75773	75773
S5	39042	29880	29856	29853	29851	29851
S50	60416	52135	52130	52116	52041	52041
S51	40047	31066	31052	31049	31044	31044
S52	93870	74042	73862	73996	73568	73568
S53	29682	23911	23896	23886	23877	23877
S54	35841	25840	25830	25825	25823	25823
S55	61859	48892	48879	48869	48846	48846
S56	76039	55971	55962	55958	55942	55942
S57	60496	43847	43837	43790	43695	43695
S58	40573	29121	29109	29108	29105	29105
S59	1697	1157	1138	1129	1129	1129
S6	45309	38362	38346	38348	38319	38319
S60	10618	7997	7987	7879	7755	7755
S61	10461	8590	8574	8585	8572	8572
S62	89963	73252	73214	73216	73104	73104
S63	89392	76108	76064	76071	75948	75948
S64	52011	45348	45329	45307	45270	45270
S65	72839	57954	57921	57939	57733	57540
S66	70564	59891	59782	59876	59672	59652
S68	6112	4338	4316	4310	4302	4302
S69	2427	1614	1600	1576	1576	1576
S7	60911	47586	47568	47566	47498	47498
S70	41363	31590	31575	31576	31186	31186
S72	74160	58810	58791	58763	58693	58693
S73	25208	20264	20252	20252	20237	20237
S74	80355	62348	62336	62316	62251	62214
S76	66752	54759	54748	54742	54637	54619
S77	11309	8464	8443	8439	8425	8425
S78	31546	25145	25134	25135	25117	25117
S79	84839	64428	64415	64418	64377	64377
S8	112407	93795	93753	93710	93557	93362
S80	72137	60600	60590	60582	60510	60503
S81	45565	37883	37876	37840	37816	37791
S82	18321	14114	14106	14095	14089	14089
S83	29387	22901	22865	22883	22852	22852
S84	45699	36932	36900	36876	36724	36724
S85	107249	84589	84570	84540	82835	82506
S86	186811	147930	147852	147873	146716	146334
S87	84693	73705	73664	73682	73544	73431
S88	170888	140943	140536	140739	140291	139929
S89	108921	83352	83311	83303	82847	82845
S9	19989	17393	17379	17381	17375	17375
S90	113964	92503	92435	92457	91884	91876
S91	61388	49200	49183	49107	48843	48840
S92	80630	60535	60485	60463	60221	60221
S93	183453	141866	141808	141773	141554	141313
S94	63718	45795	45776	45741	45717	45717
S95	160475	113350	113318	113316	113136	113110
S96	137787	95987	95836	95879	95149	95053
S97	120437	92461	92395	92329	92064	91997
S98	80994	56559	56538	56493	56299	56299
S99	36687	18354	18348	18341	18326	18326
SDNA_C1	94	27	7	15	0	0
SDNA_C2	220	40	23	23	23	23
SDNA_C3	502	101	91	82	77	77
SDNA_C4	433	124	109	113	107	107
SMC1	114682	77792	77439	77269	71404	53265
SMC2	111006	75033	74536	74530	69104	51535
SMC3	207646	137147	136572	136288	122522	84893
SMC4	187626	123235	122831	122555	114895	82738
SPCR_C1	160	26	22	6	6	6
SPCR_C2	111	47	45	45	44	44
SPCR_C3	1257	168	141	136	135	135
SPCR_C4	342	58	30	38	16	16
